,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024.,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..1,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..2,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..3,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..4,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..5,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..6,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..7,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..8,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..9,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..10,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..11,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..12,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..13,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..14,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..15,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..16,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..17,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..18,Trans Harbour Line Public Time Table ( Vashi/Panvel to Thane) W.e.f. 13-01-2024..19
0,Train No. Train Code,99044 TPL 44,99470 TV 70,99244 TNU 44,99046 TPL 46,99472 TV 72,99474 TV 74,99048 TPL 48 X,99476 TV 76,99050 TPL 50,99478 TV 78,99246 TNU 46,99480 TV 80,99482 TV 82 $,99052 TPL 52,99248 TNU 48,99484 TV 84,99250 TNU 50 X,99054 TPL 54 $,99486 TV 86
1,PNVL,15:36,,,15:53,,,16:14,,16:26,,,,,17:12,,,,17:37,
2,KNDS,15:41,,,15:58,,,16:19,,16:31,,,,,17:17,,,,17:42,
3,MANR,15:44,,,16:01,,,16:22,,16:34,,,,,17:20,,,,17:45,
4,KHAG,15:47,,,16:04,,,16:25,,16:37,,,,,17:23,,,,17:48,
5,BEPR,15:51,,,16:08,,,16:29,,16:41,,,,,17:27,,,,17:52,
6,SWDV,15:55,,,16:12,,,16:33,,16:45,,,,,17:31,,,,17:56,
7,NEU,15:59,,16:09,16:16,,,16:37,,16:49,,17:11,,,17:35,17:41,,17:54,18:00,
8,JNJ,16:03,,16:14,16:20,,,16:41,,16:53,,17:16,,,17:39,17:46,,17:59,18:04,
9,VSH,,16:04,,,16:19,16:31,,16:44,,16:57,,17:19,17:32,,,17:48,,,18:05
10,SNPD,,16:08,,,16:24,16:35,,16:49,,17:02,,17:23,17:36,,,17:52,,,18:09
11,TUH,16:07,16:12,16:18,16:24,16:28,16:39,16:47,16:53,16:59,17:07,17:20,17:27,17:40,17:45,17:50,17:56,18:03,18:08,18:13
12,KPHN,16:11,16:16,16:22,16:28,16:32,16:43,16:51,16:57,17:03,17:11,17:24,17:31,17:44,17:49,17:54,18:00,18:07,18:12,18:17
13,GNSL,16:14,16:19,16:25,16:31,16:35,16:46,16:54,17:00,17:06,17:14,17:27,17:34,17:47,17:52,17:57,18:03,18:10,18:15,18:20
14,RABE,16:17,16:22,16:28,16:34,16:38,16:49,16:57,17:03,17:09,17:17,17:30,17:37,17:50,17:55,18:00,18:06,18:13,18:18,18:23
15,AIRL,16:20,16:25,16:31,16:37,16:41,16:52,17:00,17:06,17:12,17:20,17:33,17:40,17:53,17:58,18:03,18:09,18:16,18:21,18:26
16,DIGH,16:23,16:28,16:34,16:40,16:44,16:55,17:03,17:09,17:15,17:23,17:36,17:43,17:56,18:01,18:06,18:12,18:19,18:24,18:29
17,TNA,16:28,16:33,16:39,16:45,16:49,17:00,17:09,17:14,17:20,17:28,17:41,17:48,18:01,18:06,18:11,18:17,18:25,18:29,18:34
18,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.
