TR.NO TR.CODE,99701 UBR 1,99601 UNU 1,99603 UNU 3,99703 UBR 3,99605 UNU 5,99705 UBR 5,99607 UNU 7,99707 UBR 7,99609 UNU 9,99709 UBR 9,99611 UNU 11,99711 UBR 11,99613 UNU 13,99713 UBR 13,99615 UNU 15,99715 UBR 15,99617 UNU 17,99717 UBR 17,99619 UNU 19,99719 UBR 19
,,,,,,,,,,,,,,,,,,,,
NERUL,,07:10,07:55,,08:55,,09:55,,11:40,,13:40,,15:45,,17:35,,19:15,,20:55,
SEAWOODS DARAVE,,07:14,07:59,,08:59,,09:59,,11:44,,13:44,,15:49,,17:39,,19:19,,20:59,
BELAPUR,06:00,,,08:20,,09:22,,10:37,,12:37,,14:37,,16:27,,18:27,,19:57,,21:32
BAMANDONGRI,06:12,07:24,08:09,08:32,09:09,09:34,10:09,10:49,11:54,12:49,13:54,14:49,15:59,16:39,17:49,18:39,19:29,20:09,21:09,21:44
KHARKOPAR,06:16,07:28,08:13,08:36,09:13,09:38,10:13,10:53,11:58,12:53,13:58,14:53,16:03,16:43,17:53,18:43,19:33,20:13,21:13,21:48
SHEMATIKHAR,06:26,07:38,08:23,08:46,09:23,09:48,10:23,11:03,12:08,13:03,14:08,15:03,16:13,16:53,18:03,18:53,19:43,20:23,21:23,21:58
NHAVE-SHEVA,06:31,07:43,08:28,08:51,09:28,09:53,10:28,11:08,12:13,13:08,14:13,15:08,16:18,16:58,18:08,18:58,19:48,20:28,21:28,22:03
DRONAGIRI,06:36,07:48,08:33,08:56,09:33,09:58,10:33,11:13,12:18,13:13,14:18,15:13,16:23,17:03,18:13,19:03,19:53,20:33,21:33,22:08
URAN,06:41,07:53,08:38,09:01,09:38,10:03,10:38,11:18,12:23,13:18,14:23,15:18,16:28,17:08,18:18,19:08,19:58,20:38,21:38,22:13
