,TR.NO TR.CODE,99602 UNU 2,99702 UBR 2,99604 UNU 4,99704 UBR 4,99606 UNU 6,99706 UBR 6,99608 UNU 8,99708 UBR 8,99610 UNU 10,99710 UBR 10,99612 UNU 12,99712 UBR 12,99614 UNU 14,99714 UBR 14,99616 UNU 16,99716 UBR 16,99618 UNU 18,99718 UBR 18,99620 UNU 20,99720 UBR 20
0,,,,,,,,,,,,,,,,,,,,,
1,URAN,06:05,07:20,07:50,08:30,09:00,09:30,10:00,11:00,12:00,13:00,14:00,15:00,16:00,16:50,17:40,18:30,19:20,20:00,21:00,21:55
2,DRONAGIRI,06:10,07:25,07:55,08:35,09:05,09:35,10:05,11:05,12:05,13:05,14:05,15:05,16:05,16:55,17:45,18:35,19:25,20:05,21:05,22:00
3,NHAVE-SHEVA,06:15,07:30,08:00,08:40,09:10,09:40,10:10,11:10,12:10,13:10,14:10,15:10,16:10,17:00,17:50,18:40,19:30,20:10,21:10,22:05
4,SHEMATIKHAR,06:20,07:35,08:05,08:45,09:15,09:45,10:15,11:15,12:15,13:15,14:15,15:15,16:15,17:05,17:55,18:45,19:35,20:15,21:15,22:10
5,KHARKOPAR,06:30,07:45,08:15,08:55,09:25,09:55,10:25,11:25,12:25,13:25,14:25,15:25,16:25,17:15,18:05,18:55,19:45,20:25,21:25,22:20
6,BAMANDONGRI,06:34,07:49,08:19,08:59,09:29,09:59,10:29,11:29,12:29,13:29,14:29,15:29,16:29,17:19,18:09,18:59,19:49,20:29,21:29,22:24
7,BELAPUR,,08:01,,09:11,,10:11,,11:41,,13:41,,15:41,,17:31,,19:11,,20:41,,22:36
8,SEAWOODS DARAVE,06:44,,08:29,,09:39,,10:39,,12:39,,14:39,,16:39,,18:19,,19:59,,21:39,
9,NERUL,06:48,,08:33,,09:43,,10:43,,12:43,,14:43,,16:43,,18:23,,20:03,,21:43,
