Train No,96002,97302,96102,97602,97304,97604,96302,97306,96602,97308,96304,95902,97606,96104
Train Code,SKP 2,T 2,S 2,C 2 X,T 4,C 4 AC X,A 2,T 6,TL 2,T 8,A 4,T 10,C 6 X,S 4
Kasara,,,,,,,,,,,,,,
Khardi,,,,,,,,,,,,,,
Atgaon,,,,,,,,,,,,,,
Asangaon,,,,,,,,,,,,,,
Vasind,,,,,,,,,,,,,,
Khadavli,,,,,,,,,,,,,,
Titwala,,,,,,,,,03:56,,,,,
Ambivli,,,,,,,,,04:04,,,,,
Shahad,,,,,,,,,04:07,,,,,
Khopoli,00:30,,,,,,,,,,,,,
Lowjee,00:34,,,,,,,,,,,,,
Dolavli,00:38,,,,,,,,,,,,,
Kelavli,00:41,,,,,,,,,,,,,
Palasdhari,00:48,,,,,,,,,,,,,
Karjat,00:55,,02:33,,,,,,,,,,,03:40
Bhivpuri Road,,,02:42,,,,,,,,,,,03:49
Neral,,,02:49,,,,,,,,,,,03:56
Shelu,,,02:53,,,,,,,,,,,04:00
Vangani,,,02:57,,,,,,,,,,,04:04
Badlapur,,,03:06,,,,,,,,,,,04:13
Ambernath,,,03:13,,,,03:44,,,,04:08,,,04:20
Ulhas Nagar,,,03:17,,,,03:49,,,,04:13,,,04:24
Vithalwadi,,,03:20,,,,03:52,,,,04:16,,,04:27
Kalyan,,,03:27,,,,03:58,,04:12,,04:21,,,04:33
Thakurli,,,03:34,,,,04:03,,04:18,,04:28,,,04:40
Dombivli,,,03:38,,,,04:06,,04:21,,04:31,,,04:43
Kopar,,,03:42,,,,04:09,,04:24,,04:34,,,04:46
Diva,,,03:46,,,,04:14,,04:29,,04:39,,,04:51
Mumbra,,,03:52,,,,04:18,,04:33,,04:43,,,04:55
Kalva,,,03:59,,,,04:24,,04:39,,04:49,,,05:01
Thane,,04:00,04:04,,04:16,,04:29,04:40,04:44,04:48,04:54,05:08,,05:06
Mulund,,04:04,04:08,,04:20,,04:33,04:44,04:48,04:54,04:58,05:13,,05:10
Nahur,,04:07,04:11,,04:23,,04:36,04:47,04:51,04:57,05:01,...,,05:13
Bhandup,,04:10,04:14,,04:26,,04:39,04:50,04:54,05:00,05:04,...,,05:16
Kanjur Marg,,04:13,04:17,,04:29,,04:42,04:53,04:57,05:03,05:07,...,,05:19
Vikhroli,,04:16,04:20,,04:32,,04:45,04:56,05:00,05:06,05:10,...,,05:22
Ghatkopar,,04:20,04:24,,04:36,,04:49,05:00,05:04,05:10,05:14,05:21,,05:26
Vidyavihar,,04:23,04:27,,04:39,,04:52,05:03,05:07,05:13,05:17,...,,05:29
Kurla,,04:26,04:30,04:38,04:42,04:46,04:55,05:06,05:10,05:16,05:20,05:25,05:26,05:32
Sion,,04:30,04:34,04:42,04:46,04:50,04:59,05:10,05:14,05:20,05:24,...,05:30,05:36
Matunga,,04:33,04:37,04:45,04:49,04:53,05:02,05:13,05:17,05:23,05:27,...,05:33,05:39
Dadar,,04:37,04:41,04:49,04:53,04:57,05:06,05:17,05:21,05:27,05:31,05:33,05:37,05:43
Parel,,04:40,04:44,04:52,04:56,05:00,05:09,05:20,05:24,05:30,05:34,…,05:40,05:46
Currey Road,,04:43,04:47,04:55,04:59,05:03,05:12,05:23,05:27,05:33,05:37,…,05:43,05:49
Chinchpokli,,04:45,04:49,04:57,05:01,05:05,05:14,05:25,05:29,05:35,05:39,…,05:45,05:51
