Stations,96301,97301,96401,97601,96101,97303,97603,96001,96501,96103,96601,96403,95015,96105,96603
,A 1,DT 1,N 1,C 1,S 1,T 1,C 3,SKP 1,KAN 1,TS 1,CTL 1,N 3,KP 1,TS 3,CTL 3
,,AC,,,,,AC,,,,,,,,
,,X,,,,,,,,,,,,,
CSMT,00:04,,00:14,00:20,00:24,00:28,00:31,,,,,04:19,04:35,,
Masjid,00:07,,00:17,00:23,00:27,00:31,00:34,,,,,04:22,…,,
Sandhurst Road,00:09,,00:19,00:25,00:29,00:33,00:36,,,,,04:24,…,,
Byculla,00:12,,00:22,00:28,00:32,00:36,00:39,,,,,04:27,04:42,,
Chinchpokli,00:14,,00:24,00:30,00:34,00:38,00:41,,,,,04:29,…,,
Currey Road,00:16,,00:26,00:32,00:36,00:40,00:43,,,,,04:31,…,,
Parel,00:19,,00:29,00:35,00:39,00:43,00:46,,,,,04:34,…,,
Dadar,00:22,00:29,00:32,00:38,00:42,00:46,00:49,,,,,04:37,04:48,,
Matunga,00:25,00:32,00:35,00:41,00:45,00:49,00:52,,,,,04:40,…,,
Sion,00:28,00:35,00:38,00:44,00:48,00:52,00:55,,,,,04:43,…,,
Kurla,00:32,00:39,00:42,00:49,00:52,00:56,01:00,,,,,04:47,04:57,,
Vidyavihar,00:35,00:42,00:45,,00:55,00:59,,,,,04:45,04:50,…,,05:11
Ghatkopar,00:38,00:45,00:48,,00:58,01:02,,,,,04:48,04:53,05:02,,05:14
Vikhroli,00:42,00:49,00:52,,01:02,01:06,,,,,04:52,04:57,…,,05:18
Kanjur Marg,00:45,00:52,00:55,,01:05,01:09,,,,,04:55,05:00,…,,05:21
Bhandup,00:48,00:55,00:58,,01:08,01:12,,,,,04:58,05:03,…,,05:24
Nahur,00:51,00:58,01:01,,01:11,01:15,,,,,05:01,05:06,…,,05:27
Mulund,00:54,01:01,01:04,,01:14,01:18,,,,,05:04,05:09,…,,05:30
Thane,00:58,01:05,01:08,,01:18,01:24,,,,05:00,05:09,05:14,05:20,05:27,05:35
Kalva,01:03,,01:13,,01:23,,,,,05:05,05:14,05:19,…,05:32,05:40
Mumbra,01:09,,01:19,,01:29,,,,,05:11,05:20,05:25,…,05:38,05:46
Diva,01:13,,01:23,,01:33,,,,,05:15,05:24,05:29,…,05:42,05:50
Kopar,01:18,,01:28,,01:38,,,,,05:20,05:29,05:34,…,05:47,05:55
Dombivli,01:22,,01:32,,01:42,,,,,05:23,05:32,05:37,05:36,05:50,05:58
Thakurli,01:26,,01:36,,01:46,,,,,05:27,05:36,05:41,…,05:54,06:02
Kalyan,01:32,,01:43,,01:52,,,,05:28,05:34,05:42,05:48,05:53,06:01,06:08
Vithalwadi,01:36,,,,01:56,,,,,05:38,,,05:57,06:05,
Ulhas Nagar,01:39,,,,01:59,,,,,05:41,,,06:00,06:08,
Ambernath,01:45,,,,02:03,,,,,05:45,,,06:04,06:12,
Badlapur,,,,,02:10,,,,,05:52,,,06:11,06:19,
Vangani,,,,,02:18,,,,,06:01,,,06:20,06:28,
Shelu,,,,,02:22,,,,,06:05,,,06:24,06:32,
Neral,,,,,02:26,,,,,06:09,,,06:28,06:36,
Bhivpuri Road,,,,,02:33,,,,,06:16,,,06:35,06:43,
Karjat,,,,,02:45,,,,,06:25,,,06:44,06:52,
Palasdhari,,,,,,,,05:48,,,,,06:49,,
Kelavli,,,,,,,,05:55,,,,,06:56,,
Dolavli,,,,,,,,05:58,,,,,06:59,,
Lowjee,,,,,,,,06:02,,,,,07:03,,
Khopoli,,,,,,,,06:08,,,,,07:09,,
Shahad,,,01:47,,,,,,05:32,,05:46,05:52,,,06:12
Ambivli,,,01:50,,,,,,05:35,,05:49,05:55,,,06:15
Titwala,,,01:56,,,,,,05:41,,05:57,06:01,,,06:23
Khadavli,,,02:03,,,,,,05:48,,,06:08,,,
Vasind,,,02:10,,,,,,05:55,,,06:15,,,
Asangaon,,,02:16,,,,,,06:03,,,06:25,,,
Atgaon,,,02:25,,,,,,,,,06:34,,,
Khardi,,,02:35,,,,,,,,,06:44,,,
Kasara,,,03:00,,,,,,,,,07:03,,,
Stations,96107 S 3,96503 TAN 1,96201 CBL 1,97305 T 3 X,97001 CK 1 X,96405 N 5,96505 AN 1,96303 A 3,95701 K 1 AC X,96605 TL 1,97003 CK 3 X,96305 A 5,95101 S 5,97005 CK 5,96607 TL 3
CSMT,04:47,,,05:00,,05:07,05:12,05:16,05:20,05:28,,05:40,05:46,,05:51
Masjid,04:50,,,05:03,,05:10,05:15,05:19,…,05:31,,05:43,…,,05:54
Sandhurst Road,04:52,,,05:05,,05:12,05:17,05:21,…,05:33,,05:45,…,,05:56
Byculla,04:55,,,05:08,,05:15,05:20,05:24,05:27,05:36,,05:48,05:53,,05:59
Chinchpokli,04:57,,,05:10,,05:17,05:22,05:26,…,05:38,,05:50,…,,06:01
Currey Road,04:59,,,05:12,,05:19,05:24,05:28,…,05:40,,05:52,…,,06:03
Parel,05:02,,,05:15,,05:22,05:27,05:31,…,05:43,,05:55,…,,06:06
Dadar,05:05,,,05:18,,05:25,05:30,05:34,05:33,05:46,,05:58,05:59,,06:09
Matunga,05:08,,,05:21,,05:28,05:33,05:37,…,05:49,,06:01,…,,06:12
Sion,05:11,,,05:24,,05:31,05:36,05:40,…,05:52,,06:04,…,,06:15
Kurla,05:15,,,05:28,,05:35,05:40,05:44,05:40,05:56,,06:08,06:06,,06:19
Vidyavihar,05:18,,05:26,05:31,05:34,05:38,05:43,05:47,…,05:59,06:03,06:11,…,06:15,06:22
Ghatkopar,05:21,,05:29,05:34,05:37,05:41,05:46,05:50,05:44,06:02,06:06,06:14,06:10,06:18,06:25
Vikhroli,05:25,,05:33,05:38,05:41,05:45,05:50,05:54,…,06:06,06:10,06:18,…,06:22,06:29
Kanjur Marg,05:28,,05:36,05:41,05:44,05:48,05:53,05:57,…,06:09,06:13,06:21,…,06:25,06:32
Bhandup,05:31,,05:39,05:44,05:47,05:51,05:56,06:00,…,06:12,06:16,06:24,…,06:28,06:35
Nahur,05:34,,05:42,05:47,05:50,05:54,05:59,06:03,…,06:15,06:19,06:27,…,06:31,06:38
Mulund,05:37,,05:45,05:50,05:53,05:57,06:02,06:06,…,06:18,06:22,06:30,…,06:34,06:41
Thane,05:42,05:46,05:50,05:55,05:58,06:02,06:07,06:11,06:01,06:23,06:27,06:35,06:25,06:39,06:46
Kalva,05:47,05:51,05:55,,06:03,06:07,06:12,06:16,…,06:28,06:32,06:40,…,06:44,06:51
Mumbra,05:53,05:57,06:01,,06:09,06:13,06:18,06:22,…,06:34,06:38,06:46,…,06:50,06:57
Diva,05:57,06:01,06:05,,06:13,06:17,06:22,06:26,…,06:38,06:42,06:50,…,06:54,07:01
Kopar,06:02,06:06,06:10,,06:18,06:22,06:27,06:31,…,06:43,06:47,06:55,…,06:59,07:06
Dombivli,06:05,06:09,06:13,,06:21,06:25,06:30,06:34,06:17,06:46,06:50,06:59,06:41,07:03,07:10
Thakurli,06:09,06:13,06:17,,06:25,06:29,06:34,06:38,…,06:50,06:54,07:03,…,07:07,07:15
Kalyan,06:16,06:20,06:23,,06:31,06:36,06:41,06:45,06:24,06:56,07:01,07:09,06:50,07:14,07:22
Vithalwadi,06:20,,06:27,,,,,06:49,,,,07:13,06:54,,
Ulhas Nagar,06:23,,06:30,,,,,06:52,,,,07:16,06:57,,
Ambernath,06:27,,06:34,,,,,06:58,,,,07:23,07:03,,
Badlapur,06:34,,06:43,,,,,,,,,,07:10,,
Vangani,06:43,,,,,,,,,,,,07:19,,
Shelu,06:47,,,,,,,,,,,,07:23,,
Neral,06:51,,,,,,,,,,,,07:27,,
Bhivpuri Road,06:58,,,,,,,,,,,,07:34,,
Karjat,07:08,,,,,,,,,,,,07:43,,
Palasdhari,,,,,,,,,,,,,,,
Kelavli,,,,,,,,,,,,,,,
Dolavli,,,,,,,,,,,,,,,
Lowjee,,,,,,,,,,,,,,,
Khopoli,,,,,,,,,,,,,,,
Shahad,,06:25,,,,06:40,06:45,,,07:00,,,,,07:26
Ambivli,,06:28,,,,06:43,06:48,,,07:03,,,,,07:29
Titwala,,06:34,,,,06:49,06:54,,,07:11,,,,,07:37
Khadavli,,06:41,,,,06:56,07:01,,,,,,,,
Vasind,,06:48,,,,07:03,07:08,,,,,,,,
Asangaon,,06:58,,,,07:09,07:18,,,,,,,,
Atgaon,,,,,,07:18,,,,,,,,,
Khardi,,,,,,07:28,,,,,,,,,
Kasara,,,,,,07:46,,,,,,,,,
Stations,97605,97007,96507,95703,97009,96005,95103,97011,96609,96307,97201,95201,97013,96611,97203
,C 5,CK 7,AN 3,K 3,K 5,SKP 3,S 7,PK 1,CTL 5,A 7,DL 1,BL 1,PK 3,TL 5,DL 3
,,,,15 C,,,,,,,,,,,
,X,,,X,X,,,,,,X,,X,,
CSMT,05:56,,06:01,06:06,06:06,,06:10,,,06:19,06:23,06:24,,06:30,06:33
Masjid,05:59,,06:04,…,06:09,,…,,,06:22,06:26,…,,06:33,06:36
Sandhurst Road,06:01,,06:06,…,06:11,,…,,,06:24,06:28,…,,06:35,06:38
Byculla,06:04,,06:09,06:14,06:14,,06:18,,,06:27,06:31,06:31,,06:38,06:41
Chinchpokli,06:06,,06:11,…,06:16,,…,,,06:29,06:33,…,,06:40,06:43
Currey Road,06:08,,06:13,…,06:18,,…,,,06:31,06:35,…,,06:42,06:45
Parel,06:11,,06:16,…,06:21,,…,06:25,,06:34,06:38,…,06:41,06:45,06:48
Dadar,06:14,,06:19,06:21,06:24,,06:24,06:28,,06:37,06:41,06:37,06:44,06:48,06:51
Matunga,06:17,,06:22,…,06:27,,…,06:31,,06:40,06:44,…,06:47,06:51,06:54
Sion,06:20,,06:25,…,06:30,,…,06:34,,06:43,06:47,…,06:50,06:54,06:57
Kurla,06:24,,06:29,06:28,06:34,,06:31,06:38,,06:47,06:51,06:44,06:54,06:58,07:01
Vidyavihar,,06:26,06:32,…,06:37,,…,06:41,06:46,06:50,06:54,…,06:57,07:01,07:04
Ghatkopar,,06:29,06:35,…,06:40,,06:35,06:44,06:49,06:53,06:57,…,07:00,07:04,07:07
Vikhroli,,06:33,06:39,…,06:44,,…,06:48,06:53,06:57,07:01,06:52,07:04,07:08,07:11
Kanjur Marg,,06:36,06:42,…,06:47,,…,06:51,06:56,07:00,07:04,…,07:07,07:11,07:14
Bhandup,,06:39,06:45,…,06:50,,…,06:54,06:59,07:03,07:07,…,07:10,07:14,07:17
Nahur,,06:42,06:48,…,06:53,,…,06:57,07:02,07:06,07:10,…,07:13,07:17,07:20
Mulund,,06:45,06:51,…,06:56,,…,07:00,07:05,07:09,07:13,07:00,07:16,07:20,07:23
Thane,,06:50,06:56,06:46,07:01,,06:49,07:05,07:09,07:13,07:17,07:04,07:21,07:25,07:28
Kalva,,06:55,07:01,…,07:06,,…,07:10,07:14,07:18,07:22,…,07:26,07:30,07:33
Mumbra,,07:01,07:07,…,07:12,,…,07:16,07:20,07:24,07:28,…,07:32,07:36,07:39
Diva,,07:05,07:11,…,07:16,,07:00,07:20,07:24,07:28,07:32,…,07:36,07:40,07:43
