,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL),HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).1,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).2,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).3,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).4,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).5,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).6,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).7,HARBOUR (MUMBAI CSMT-GOREGAON-PANVEL).8
0,Stations,98301 BR 1,98001 PL 1,98801 B 1,98003 PL 3,98303 BRVD 1,98803 B 3,98005 PL 5,98701 GN 1
1,,,,,,,,,
2,Mumbai CSMT,00:05,00:13,00:17,00:24,,00:36,00:40,04:28
3,Masjid,00:08,00:16,00:20,00:27,,00:39,00:43,04:31
4,Sandhurst Road,00:11,00:19,00:23,00:30,,00:42,00:46,04:34
5,Dockyard Road,00:13,00:21,00:25,00:32,,00:44,00:48,04:36
6,Reay Road,00:15,00:23,00:27,00:34,,00:46,00:50,04:38
7,Cotton Green,00:17,00:25,00:29,00:36,,00:48,00:52,04:40
8,Sewri,00:20,00:28,00:32,00:39,,00:51,00:55,04:43
9,Vadala Road,00:23,00:31,00:35,00:42,00:50,00:54,00:58,04:46
10,King's Circle,,,00:39,,,00:58,,04:50
11,Mahim Jn,,,00:41,,,01:00,,04:53
12,Bandra,,,00:45,,,01:04,,04:57
13,Khar Road,,,,,,,,05:01
14,Santacruz,,,,,,,,05:04
15,Vileparle,,,,,,,,05:07
16,Andheri,,,,,,,,05:11
17,Jogeshwari,,,,,,,,05:15
18,Ramnagar,,,,,,,,05:18
19,Goregaon,,,,,,,,05:22
20,GTB Nagar,00:28,00:36,,00:47,00:55,,01:03,
21,Chunabhatti,00:31,00:39,,00:50,00:58,,01:06,
22,Kurla,00:34,00:42,,00:53,01:01,,01:09,
23,Tilaknagar,00:37,00:45,,00:56,01:04,,01:12,
24,Chembur,00:39,00:47,,00:58,01:06,,01:14,
25,Govandi,00:42,00:50,,01:01,01:09,,01:17,
26,Mankhurd,00:45,00:53,,01:04,01:13,,01:20,
27,Vashi,00:54,01:02,,01:13,01:22,,01:29,
28,Sanpada,00:56,01:04,,01:15,01:24,,01:31,
29,Juinagar,00:59,01:07,,01:18,01:27,,01:34,
30,Nerul,01:03,01:11,,01:22,01:31,,01:38,
31,Seawood Darave,01:06,01:14,,01:25,01:34,,01:41,
