,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).1,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).2,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).3,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).4,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).5,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).6,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).7,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT).8
0,Stations,98702 GN 2,98002 PL 2,98802 B 2,98502 V 2 X,98302 BR 2,98804 B 4,98506 VVD 2 X,98504 V 4 AC
1,,,,,,,,,
2,Panvel,,00:03,,,,,,
3,Khandeshwar,,00:07,,,,,,
4,Mansarovar,,00:10,,,,,,
5,Kharghar,,00:13,,,,,,
6,Belapur CBD,,00:17,,,03:55,,,
7,Seawood Darave,,00:21,,,03:59,,,
8,Nerul,,00:24,,,04:02,,,
9,Juinagar,,00:27,,,04:05,,,
10,Sanpada,,00:30,,,04:08,,,
11,Vashi,,00:32,,04:03,04:11,,04:15,04:25
12,Mankhurd,,00:40,,04:11,04:19,,04:23,04:33
13,Govandi,,00:43,,04:14,04:22,,04:26,04:36
14,Chembur,,00:45,,04:16,04:24,,04:28,04:38
15,Tilaknagar,,00:48,,04:19,04:27,,04:31,04:41
16,Kurla,,00:51,,04:22,04:30,,04:34,04:44
17,Chunabhatti,,00:54,,04:25,04:33,,04:37,04:47
18,GTB Nagar,,00:57,,04:28,04:36,,04:40,04:50
19,Goregaon,00:07,,,,,,,
20,Ramnagar,00:11,,,,,,,
21,Jogeshwari,00:14,,,,,,,
22,Andheri,00:18,,,,,,,
23,Vileparle,00:22,,,,,,,
24,Santacruz,00:25,,,,,,,
25,Khar Road,00:28,,,,,,,
26,Bandra,00:32,,04:17,,,04:34,,
27,Mahim Jn,00:35,,04:21,,,04:37,,
28,King's Circle,00:38,,04:24,,,04:40,,
29,Vadala Road,00:44,01:02,04:30,04:34,04:42,04:46,04:46,04:56
30,Sewri,00:47,01:05,04:33,04:37,04:45,04:49,,04:59
31,Cotton Green,00:50,01:08,04:36,04:40,04:48,04:52,,05:02
32,Reay Road,00:52,01:10,04:38,04:42,04:50,04:54,,05:04
33,Dockyard Road,00:55,01:13,04:41,04:45,04:53,04:57,,05:07
34,Sandhurst Road,00:57,01:15,04:43,04:47,04:55,04:59,,05:09
35,Masjid,00:59,01:17,04:45,04:49,04:57,05:01,,05:11
36,Mumbai CSMT,01:02,01:20,04:48,04:52,05:00,05:04,,05:14
37,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73,X - NOT ON SUNDAYS & HOLIDAYS 73
38,HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT),HARBOUR (PANVEL-GOREGAON-MUMBAI CSMT)
39,Stations,98304 BR 4,98004 PL 4,98508 V 6,98306 BR 6,98510 V 8,98806 B 6,98006 PL 6,98512 VVD 4 X
40,,,,,,,,,
41,Panvel,,04:03,,,,,04:27,
42,Khandeshwar,,04:08,,,,,04:32,
43,Mansarovar,,04:11,,,,,04:35,
44,Kharghar,,04:14,,,,,04:38,
