STATIONS DN TRAINS,BSR 90065 12 CAR,VR 90067 12 CAR,VR 90067 12 CAR.1,BVI 90069 12 CAR,BVI 90069 12 CAR.1,BVI 90071 12 CAR,BVI 90071 12 CAR.1,VR 90073 12 CAR,VR 90073 12 CAR.1,VR 92017 12 CAR,VR 92017 12 CAR.1,VR 92017 12 CAR.2,BVI 90077 12 CAR,BVI 90077 12 CAR.1,BVI 90077 12 CAR.2,BVI 90079 12 CAR,BVI 90079 12 CAR.1,BSR 92019 15 CAR,BSR 92019 15 CAR.1,VR 94007 12 CAR,VR 94007 12 CAR.1,VR 90083 12 CAR,VR 90083 12 CAR.1,GMN 90085 12 CAR,GMN 90085 12 CAR.1,GMN 90085 12 CAR.2,BVI 90087 12 CAR,BVI 90087 12 CAR.1,BVI 90087 12 CAR.2,BVI 90089 12 CAR,BVI 90089 12 CAR.1,BVI 90089 12 CAR.2,BVI 90089 12 CAR.3
CHURCHGATE,05:52,,,,,05:56,05:56,06:00,06:00,,,,05:59,05:59,05:59,06:03,06:03,,,,,06:08,06:08,,,,06:11,06:11,06:11,06:14,06:14,06:14,06:14
Marine Lines,05:55,,,,,05:59,05:59,06:03,06:03,,,,06:02,06:02,06:02,06:06,06:06,,,,,06:11,06:11,,,,06:14,06:14,06:14,06:17,06:17,06:17,06:17
Charni Road,05:58,,,,,06:01,06:01,06:05,06:05,,,,06:04,06:04,06:04,06:08,06:08,,,,,06:13,06:13,,,,06:16,06:16,06:16,06:19,06:19,06:19,06:19
Grant Road,06:01,,,,,06:04,06:04,06:08,06:08,,,,06:07,06:07,06:07,06:11,06:11,,,,,06:16,06:16,,,,06:19,06:19,06:19,06:22,06:22,06:22,06:22
M'BAI CENTRAL (L),06:05,,,,,06:06,06:06,06:10,06:10,,,,06:09,06:09,06:09,06:13,06:13,,,,,06:18,06:18,,,,06:21,06:21,06:21,06:24,06:24,06:24,06:24
Mahalakshmi,,,,06:03,06:03,06:09,06:09,,,,,,06:12,06:12,06:12,06:16,06:16,,,Air,Air,,,06:20,06:20,06:20,06:24,06:24,06:24,06:27,06:27,06:27,06:27
Lower Parel,,,,06:06,06:06,06:12,06:12,,,,,,06:15,06:15,06:15,06:19,06:19,,,Condition,Condition,,,06:23,06:23,06:23,06:27,06:27,06:27,06:30,06:30,06:30,06:30
Prabhadevi,,,,06:09,06:09,06:15,06:15,,,,,,06:18,06:18,06:18,06:22,06:22,,,,,,,06:26,06:26,06:26,06:30,06:30,06:30,06:33,06:33,06:33,06:33
DADAR,06:13,,,06:11,06:11,06:17,06:17,06:18,06:18,,,,06:20,06:20,06:20,06:24,06:24,,,,,06:25,06:25,06:28,06:28,06:28,06:32,06:32,06:32,06:35,06:35,06:35,06:35
Matunga Road,,,,06:13,06:13,06:19,06:19,,,,,,06:22,06:22,06:22,06:26,06:26,,,,,,,06:30,06:30,06:30,06:34,06:34,06:34,06:37,06:37,06:37,06:37
Mahim Jn.,,,,06:16,06:16,06:22,06:22,,,,,,06:25,06:25,06:25,06:29,06:29,,,,,,,06:33,06:33,06:33,06:37,06:37,06:37,06:40,06:40,06:40,06:40
BANDRA,06:19,,,06:20,06:20,06:26,06:26,06:23,06:23,,,,06:29,06:29,06:29,06:33,06:33,,,,,06:30,06:30,06:37,06:37,06:37,06:41,06:41,06:41,06:44,06:44,06:44,06:44
Khar Road,,,,06:23,06:23,06:29,06:29,,,,,,06:32,06:32,06:32,06:36,06:36,,,,,,,06:40,06:40,06:40,06:44,06:44,06:44,06:47,06:47,06:47,06:47
Santa Cruz,,,,06:25,06:25,06:31,06:31,,,,,,06:34,06:34,06:34,06:38,06:38,,,,,,,06:42,06:42,06:42,06:46,06:46,06:46,06:49,06:49,06:49,06:49
Vile Parle,,,,06:28,06:28,06:34,06:34,,,,,,06:37,06:37,06:37,06:41,06:41,,,,,,,06:45,06:45,06:45,06:49,06:49,06:49,06:52,06:52,06:52,06:52
ANDHERI,06:27,,,06:33,06:33,06:39,06:39,06:31,06:31,,,,06:42,06:42,06:42,06:46,06:46,06:49,06:49,,,06:38,06:38,06:50,06:50,06:50,06:54,06:54,06:54,06:57,06:57,06:57,06:57
Jogeshwari,,,,06:36,06:36,06:42,06:42,,,,,,06:45,06:45,06:45,06:49,06:49,06:52,06:52,,,,,06:53,06:53,06:53,06:57,06:57,06:57,07:00,07:00,07:00,07:00
Ram Mandir,,,,06:39,06:39,06:45,06:45,,,,,,06:48,06:48,06:48,06:52,06:52,06:55,06:55,,,,,06:56,06:56,06:56,07:00,07:00,07:00,07:03,07:03,07:03,07:03
Goregaon,,,,06:41,06:41,06:47,06:47,,,,,,06:50,06:50,06:50,06:54,06:54,06:57,06:57,,,,,07:01,07:01,07:01,07:02,07:02,07:02,07:05,07:05,07:05,07:05
Malad,,,,06:45,06:45,06:51,06:51,,,,,,06:54,06:54,06:54,06:58,06:58,07:01,07:01,,,,,,,,07:06,07:06,07:06,07:09,07:09,07:09,07:09
Kandivli,,,,06:48,06:48,06:54,06:54,,,,,,06:57,06:57,06:57,07:01,07:01,07:04,07:04,,,,,,,,07:09,07:09,07:09,07:12,07:12,07:12,07:12
BORIVALI,06:40,06:50,06:50,06:55,06:55,07:00,07:00,06:44,06:44,07:02,07:02,07:02,07:04,07:04,07:04,07:08,07:08,07:10,07:10,,,06:50,06:50,,,,07:16,07:16,07:16,07:19,07:19,07:19,07:19
Dahisar,,06:53,06:53,,,,,06:49,06:49,07:05,07:05,07:05,,,,,,07:14,07:14,,,,,,,,,,,,,,
Mira Road,,06:58,06:58,,,,,06:54,06:54,07:10,07:10,07:10,,,,,,07:19,07:19,,,,,,,,,,,,,,
Bhayandar,,07:03,07:03,,,,,06:59,06:59,07:15,07:15,07:15,,,,,,07:24,07:24,07:27,07:27,07:00,07:00,,,,,,,,,,
Naigaon,,07:09,07:09,,,,,07:05,07:05,07:21,07:21,07:21,,,,,,07:30,07:30,,,,,,,,,,,,,,
Vasai Road,06:58,07:14,07:14,,,,,07:10,07:10,07:26,07:26,07:26,,,,,,07:35,07:35,,,07:08,07:08,,,,,,,,,,
Nalla Sopara,,07:19,07:19,,,,,07:15,07:15,07:31,07:31,07:31,,,,,,,,,,,,,,,,,,,,,
VIRAR,,07:26,07:26,,,,,07:22,07:22,07:40,07:40,07:40,,,,,,,,07:52,07:52,07:19,07:19,,,,,,,,,,
