,STATIONS DN TRAINS,BVI 90551 12 CAR,BYR 90553 12 CAR,GMN 90555 12 CAR,BVI 90557 12 CAR,BVI 90559 12 CAR,BVI 90561 12 CAR,VR 94043 12 CAR,GMN 90565 12 CAR,VR 90567 12 CAR,VR 94045 12 CAR,BSR 90569 12 CAR,BVI 90571 12 CAR,VR 90573 12 CAR,BVI 94047 12 CAR,VR 90575 12 CAR
0,CHURCHGATE,14:41,,14:45,14:49,14:50,14:53,14:53,14:57,14:57,,,15:00,,15:05,15:07
1,Marine Lines,14:44,,14:48,14:52,14:53,14:56,14:56,15:00,15:00,,,15:03,,15:08,15:10
2,Charni Road,14:46,,14:50,14:54,14:55,14:58,14:58,15:02,15:02,,,15:05,,15:10,15:12
3,Grant Road,14:49,,14:53,14:57,14:58,15:01,15:01,15:05,15:05,,,15:08,,15:13,15:15
4,M'BAI CENTRAL (L),14:51,,14:55,14:59,15:00,15:03,15:03,15:07,15:07,,,15:10,,15:15,15:17
5,Mahalakshmi,14:54,,14:58,15:02,,15:06,Air,15:10,,Air,,15:13,,15:18,
6,Lower Parel,14:57,,15:01,15:05,,15:09,Condition,15:13,,Condition,,15:16,,15:21,
7,Prabhadevi,15:00,,15:04,15:08,,15:12,,15:16,,,,15:19,,15:24,
8,DADAR,15:02,,15:06,15:10,15:07,15:14,15:10,15:18,15:14,,,15:21,,15:27,15:24
9,Matunga Road,15:04,,15:08,15:12,,15:16,,15:20,,,,15:23,,15:30,
10,Mahim Jn.,15:07,,15:11,15:15,,15:19,,15:23,,,,15:26,,15:33,
11,BANDRA,15:11,,15:15,15:19,15:13,15:23,15:16,15:27,15:20,,,15:30,15:35,15:38,15:30
12,Khar Road,15:14,,15:18,15:22,,15:26,,15:30,,,,15:33,15:38,15:41,
13,Santa Cruz,15:16,,15:21,15:25,,15:29,,15:33,,,,15:35,15:40,15:43,
14,Vile Parle,15:19,,15:24,15:28,,15:32,,15:36,,,,15:38,15:43,15:46,
15,ANDHERI,15:24,15:27,15:29,15:34,15:22,15:37,15:24,15:42,15:28,,,15:43,15:48,15:51,15:39
16,Jogeshwari,15:27,15:31,15:33,15:37,,15:40,,15:46,,,,15:48,15:52,15:55,
17,Ram Mandir,15:30,15:34,15:36,15:40,,15:43,,15:49,,,,15:51,15:55,15:58,
18,Goregaon,15:32,15:36,15:40,15:42,,15:45,,15:53,,,,15:53,15:57,16:00,
19,Malad,15:36,15:40,,15:46,,15:49,,,,,,15:57,16:01,16:04,
20,Kandivli,15:39,15:43,,15:49,,15:52,,,,,,16:00,16:04,16:07,
21,BORIVALI,15:47,15:49,,15:55,15:35,15:58,15:38,,15:41,15:44,16:00,16:06,16:09,16:13,15:53
22,Dahisar,,15:54,,,,,15:42,NOT ON,15:46,15:50,16:04,,16:13,ON SAT,15:57
23,Mira Road,,15:58,,,,,15:46,SUN,15:51,15:55,16:09,,16:18,& SUN,16:02
24,Bhayandar,,16:04,,,,,15:51,ONLY,15:56,16:00,16:14,,16:23,NON AC,16:07
25,Naigaon,,,,,,,15:57,,16:02,16:06,16:20,,16:29,Air,16:13
26,Vasai Road,,,,,,,16:01,,16:07,16:11,16:26,,16:34,Condition,16:18
27,Nalla Sopara,,,,,,,16:06,,16:12,16:16,,,16:39,,16:23
28,VIRAR,,,,,,,16:14,,16:19,16:23,,,16:48,,16:30
