STATIONS DN TRAINS,VR 92121 15 CAR,BVI 90577 12 CAR,BVI 90579 12 CAR,BVI 90579 12 CAR.1,GMN 90581 12 CAR,GMN 90581 12 CAR.1,GMN 90581 12 CAR.2,BVI 90583 12 CAR,BVI 90583 12 CAR.1,BVI 90583 12 CAR.2,VR 90585 12 CAR,VR 90585 12 CAR.1,VR 90585 12 CAR.2,BVI 90587 12 CAR,BVI 90587 12 CAR.1,BVI 90587 12 CAR.2,DRD 93027 12 CAR,DRD 93027 12 CAR.1,DRD 93027 12 CAR.2,BVI 90589 12 CAR,BVI 90589 12 CAR.1,BVI 90589 12 CAR.2,VR 94049 12 CAR,VR 94049 12 CAR.1,VR 94049 12 CAR.2,VR 94049 12 CAR.3,GMN 90593 12 CAR,GMN 90593 12 CAR.1,GMN 90593 12 CAR.2,GMN 90593 12 CAR.3,VR 92123 15 CAR,VR 92123 15 CAR.1,VR 92123 15 CAR.2,VR 92123 15 CAR.3,VR 92123 15 CAR.4,BVI 90595 12 CAR,BVI 90595 12 CAR.1,BVI 90595 12 CAR.2,BYR 90597 12 CAR,BYR 90597 12 CAR.1,BYR 90597 12 CAR.2,Unnamed: 42,Unnamed: 43,Unnamed: 44
CHURCHGATE,,15:10,15:11,15:11,15:13,15:13,15:13,15:16,15:16,15:16,15:18,15:18,15:18,15:19,15:19,15:19,15:21,15:21,15:21,15:22,15:22,15:22,15:26,15:26,15:26,15:26,15:26,15:26,15:26,15:26,,,,,,15:32,15:32,15:32,15:29,15:29,15:29,,,
Marine Lines,,15:13,15:14,15:14,15:16,15:16,15:16,15:19,15:19,15:19,15:21,15:21,15:21,15:22,15:22,15:22,15:24,15:24,15:24,15:25,15:25,15:25,15:29,15:29,15:29,15:29,15:29,15:29,15:29,15:29,,,,,,15:35,15:35,15:35,15:32,15:32,15:32,,,
Charni Road,,15:15,15:16,15:16,15:18,15:18,15:18,15:21,15:21,15:21,15:23,15:23,15:23,15:24,15:24,15:24,15:26,15:26,15:26,15:27,15:27,15:27,15:31,15:31,15:31,15:31,15:31,15:31,15:31,15:31,,,,,,15:37,15:37,15:37,15:34,15:34,15:34,,,
Grant Road,,15:18,15:19,15:19,15:21,15:21,15:21,15:24,15:24,15:24,15:26,15:26,15:26,15:27,15:27,15:27,15:29,15:29,15:29,15:30,15:30,15:30,15:34,15:34,15:34,15:34,15:34,15:34,15:34,15:34,,,,,,15:40,15:40,15:40,15:37,15:37,15:37,,,
M'BAI CENTRAL (L),,15:20,15:21,15:21,15:23,15:23,15:23,15:26,15:26,15:26,15:28,15:28,15:28,15:29,15:29,15:29,15:31,15:31,15:31,15:32,15:32,15:32,15:36,15:36,15:36,15:36,15:36,15:36,15:36,15:36,,,,,,15:42,15:42,15:42,15:39,15:39,15:39,,,
Mahalakshmi,,15:23,,,15:26,15:26,15:26,15:29,15:29,15:29,,,,15:32,15:32,15:32,,,,15:35,15:35,15:35,Air,Air,Air,Air,15:39,15:39,15:39,15:39,,,,,,15:45,15:45,15:45,,,,,,
Lower Parel,,15:26,,,15:29,15:29,15:29,15:32,15:32,15:32,,,,15:35,15:35,15:35,,,,15:38,15:38,15:38,Condition,Condition,Condition,Condition,15:42,15:42,15:42,15:42,,,,,,15:48,15:48,15:48,,,,,,
Prabhadevi,,15:29,,,15:32,15:32,15:32,15:35,15:35,15:35,,,,15:38,15:38,15:38,,,,15:41,15:41,15:41,,,,,15:45,15:45,15:45,15:45,,,,,,15:51,15:51,15:51,,,,,,
DADAR,15:25,15:31,15:28,15:28,15:34,15:34,15:34,15:37,15:37,15:37,15:35,15:35,15:35,15:40,15:40,15:40,15:38,15:38,15:38,15:43,15:43,15:43,15:44,15:44,15:44,15:44,15:47,15:47,15:47,15:47,,,,,,15:53,15:53,15:53,15:47,15:47,15:47,,,
Matunga Road,,15:33,,,15:36,15:36,15:36,15:39,15:39,15:39,,,,15:42,15:42,15:42,,,,15:45,15:45,15:45,,,,,15:49,15:49,15:49,15:49,,,,,,15:55,15:55,15:55,,,,,,
Mahim Jn.,,15:36,,,15:39,15:39,15:39,15:42,15:42,15:42,,,,15:45,15:45,15:45,,,,15:48,15:48,15:48,,,,,15:52,15:52,15:52,15:52,,,,,,15:58,15:58,15:58,,,,,,
BANDRA,15:33,15:41,15:36,15:36,15:43,15:43,15:43,15:46,15:46,15:46,15:40,15:40,15:40,15:49,15:49,15:49,15:43,15:43,15:43,15:52,15:52,15:52,15:49,15:49,15:49,15:49,15:56,15:56,15:56,15:56,,,,,,16:02,16:02,16:02,15:52,15:52,15:52,,,
Khar Road,,15:45,,,15:46,15:46,15:46,15:49,15:49,15:49,,,,15:52,15:52,15:52,,,,15:55,15:55,15:55,,,,,15:59,15:59,15:59,15:59,,,,,,16:06,16:06,16:06,,,,,,
Santa Cruz,,15:47,,,15:49,15:49,15:49,15:51,15:51,15:51,,,,15:54,15:54,15:54,,,,15:57,15:57,15:57,,,,,16:01,16:01,16:01,16:01,,,,,,16:08,16:08,16:08,,,,,,
Vile Parle,,15:50,,,15:52,15:52,15:52,15:54,15:54,15:54,,,,15:57,15:57,15:57,,,,16:00,16:00,16:00,,,,,16:04,16:04,16:04,16:04,,,,,,16:11,16:11,16:11,,,,,,
ANDHERI,15:42,15:55,15:45,15:45,15:58,15:58,15:58,15:59,15:59,15:59,15:48,15:48,15:48,16:02,16:02,16:02,15:51,15:51,15:51,16:05,16:05,16:05,15:57,15:57,15:57,15:57,16:10,16:10,16:10,16:10,16:10,16:10,16:10,16:10,16:10,16:16,16:16,16:16,16:00,16:00,16:00,,,
Jogeshwari,,15:59,,,16:02,16:02,16:02,16:02,16:02,16:02,,,,16:05,16:05,16:05,,,,16:08,16:08,16:08,,,,,16:14,16:14,16:14,16:14,16:15,16:15,16:15,16:15,16:15,16:19,16:19,16:19,,,,,,
Ram Mandir,,16:02,,,16:05,16:05,16:05,16:05,16:05,16:05,,,,16:08,16:08,16:08,,,,16:11,16:11,16:11,,,,,16:17,16:17,16:17,16:17,16:18,16:18,16:18,16:18,16:18,16:22,16:22,16:22,,,,,,
Goregaon,,16:04,,,16:10,16:10,16:10,16:07,16:07,16:07,,,,16:10,16:10,16:10,,,,16:13,16:13,16:13,,,,,16:21,16:21,16:21,16:21,16:20,16:20,16:20,16:20,16:20,16:24,16:24,16:24,,,,,,
Malad,,16:08,,,,,,16:11,16:11,16:11,,,,16:14,16:14,16:14,,,,16:17,16:17,16:17,,,,,,,,,16:24,16:24,16:24,16:24,16:24,16:28,16:28,16:28,,,,,,
Kandivli,,16:11,,,,,,16:14,16:14,16:14,,,,16:17,16:17,16:17,,,,16:20,16:20,16:20,,,,,,,,,16:27,16:27,16:27,16:27,16:27,16:31,16:31,16:31,,,,,,
BORIVALI,15:57,16:17,16:00,16:00,,,,16:20,16:20,16:20,16:03,16:03,16:03,16:23,16:23,16:23,16:06,16:06,16:06,16:26,16:26,16:26,16:09,16:09,16:09,16:09,,,,,16:31,16:31,16:31,16:31,16:31,16:37,16:37,16:37,16:13,16:13,16:13,,,
Dahisar,16:01,,,,,,,,,,16:09,16:09,16:09,,,,,,,,,,16:13,16:13,16:13,16:13,,,,,16:36,16:36,16:36,16:36,16:36,,,,16:18,16:18,16:18,,,
Mira Road,16:06,,,,,,,,,,16:14,16:14,16:14,,,,,,,,,,16:18,16:18,16:18,16:18,,,,,16:41,16:41,16:41,16:41,16:41,,,,16:23,16:23,16:23,,,
Bhayandar,16:11,,,,,,,,,,16:19,16:19,16:19,,,,16:15,16:15,16:15,,,,16:23,16:23,16:23,16:23,,,,,16:46,16:46,16:46,16:46,16:46,,,,16:30,16:30,16:30,,,
Naigaon,16:17,,,,,,,,,,16:25,16:25,16:25,,,,,,,,,,16:29,16:29,16:29,16:29,,,,,16:52,16:52,16:52,16:52,16:52,,,,,,,,,
Vasai Road,16:22,,,,,,,,,,16:30,16:30,16:30,,,,16:24,16:24,16:24,,,,16:33,16:33,16:33,16:33,,,,,16:57,16:57,16:57,16:57,16:57,,,,,,,,,
Nalla Sopara,16:27,,,,,,,,,,16:35,16:35,16:35,,,,,,,,,,16:38,16:38,16:38,16:38,,,,,17:02,17:02,17:02,17:02,17:02,,,,,,,,,
VIRAR,16:33,,,,,,,,,,16:42,16:42,16:42,,,,16:32,16:32,16:32,,,,16:45,16:45,16:45,16:45,,,,,17:10,17:10,17:10,17:10,17:10,,,,,,,,,
STATIONS DN TRAINS,VR 92125 12 CAR,BSR 90599 12 CAR,BSR 90599 12 CAR,VR 90601 12 CAR,VR 90601 12 CAR,VR 90601 12 CAR,VR 92127 15 CAR,VR 92127 15 CAR,VR 92127 15 CAR,BVI 90603 12 CAR,BVI 90603 12 CAR,BVI 90603 12 CAR,BYR 90605 12 CAR,BYR 90605 12 CAR,BYR 90605 12 CAR,BVI 90607 12 CAR,BVI 90607 12 CAR,BVI 90607 12 CAR,BVI 90609 12 CAR,BVI 90609 12 CAR,BVI 90609 12 CAR,GMN 90611 12 CAR,GMN 90611 12 CAR,GMN 90611 12 CAR,BVI 90613 12 CAR,BVI 90613 12 CAR,BVI 90613 12 CAR,BVI 90613 12 CAR,VR 90615 12 CAR,VR 90615 12 CAR,VR 90615 12 CAR,VR 90615 12 CAR,VR 90615 12 CAR,BVI 90617 12 CAR,BVI 90617 12 CAR,BVI 90617 12 CAR,VR 90619 12 CAR,VR 90619 12 CAR,VR 90619 12 CAR,BVI 90621 12 CAR,BVI 90621 12 CAR,BVI 90621 12 CAR,,
CHURCHGATE,,15:36,15:36,15:43,15:43,15:43,,,,15:41,15:41,15:41,15:50,15:50,15:50,15:45,15:45,15:45,15:49,15:49,15:49,15:52,15:52,15:52,15:56,15:56,15:56,15:56,15:56,15:56,15:56,15:56,15:56,16:00,16:00,16:00,,,,16:02,16:02,16:02,,
Marine Lines,,15:39,15:39,15:46,15:46,15:46,,,,15:44,15:44,15:44,15:53,15:53,15:53,15:48,15:48,15:48,15:52,15:52,15:52,15:55,15:55,15:55,15:59,15:59,15:59,15:59,15:59,15:59,15:59,15:59,15:59,16:03,16:03,16:03,,,,16:05,16:05,16:05,,
Charni Road,,15:41,15:41,15:48,15:48,15:48,,,,15:46,15:46,15:46,15:55,15:55,15:55,15:50,15:50,15:50,15:54,15:54,15:54,15:57,15:57,15:57,16:01,16:01,16:01,16:01,16:01,16:01,16:01,16:01,16:01,16:05,16:05,16:05,,,,16:07,16:07,16:07,,
Grant Road,,15:44,15:44,15:51,15:51,15:51,,,,15:49,15:49,15:49,15:58,15:58,15:58,15:53,15:53,15:53,15:57,15:57,15:57,16:00,16:00,16:00,16:04,16:04,16:04,16:04,16:04,16:04,16:04,16:04,16:04,16:08,16:08,16:08,,,,16:10,16:10,16:10,,
