,STATIONS DN TRAINS,GMN 90709 12 CAR,ADH 90711 12 CAR,BVI 90713 12 CAR,BVI 94057 12 CAR,BA 90715 12 CAR,BVI 90717 12 CAR,VR 90719 12 CAR,VR 90721 12 CAR,BSR 92153 15 CAR,GMN 90723 12 CAR,BVI 90725 12 CAR,VR 92155 15 CAR,BVI 90727 12 CAR,BVI* 90727A 12 CAR,Unnamed: 15
0,CHURCHGATE,17:42,17:45,17:48,17:50,17:51,17:53,17:54,17:56,,17:57,17:59,,,18:00,
1,Marine Lines,17:45,17:48,17:51,17:53,17:54,17:56,17:57,17:59,,18:00,18:02,,,18:03,
2,Charni Road,17:47,17:50,17:53,17:55,17:56,17:58,17:59,18:01,,18:02,18:04,,,18:05,
3,Grant Road,17:50,17:53,17:56,17:58,17:59,18:01,18:02,18:04,,18:05,18:07,,,18:08,
4,M'BAI CENTRAL (L),17:52,17:55,17:58,18:00,18:01,18:03,18:04,18:06,,18:07,18:09,,18:10,18:10,
5,Mahalakshmi,17:55,17:58,18:01,Air,18:04,,18:07,,,18:10,,,18:13,18:13,
6,Lower Parel,17:58,18:01,18:04,Condition,18:07,,18:10,,NOT ON,18:13,,,18:16,18:16,
7,Prabhadevi,18:01,18:04,18:07,,18:10,,18:13,,SUN,18:16,,,18:19,18:19,
8,DADAR,18:03,18:06,18:09,18:08,18:12,18:11,18:15,18:14,ONLY,18:18,18:18,,18:21,18:21,
9,Matunga Road,18:05,18:08,18:11,,18:14,,18:17,,,18:20,,,18:23,18:23,
10,Mahim Jn.,18:08,18:11,18:14,,18:17,,18:20,,,18:23,,,18:26,18:26,
11,BANDRA,18:13,18:15,18:18,18:13,18:21,18:16,18:24,18:20,,18:27,18:24,,18:30,18:30,
12,Khar Road,18:17,18:18,18:21,,,,18:27,,,18:30,,,18:33,18:33,
13,Santa Cruz,18:20,18:21,18:24,,,,18:31,,,18:33,,,18:35,18:35,
14,Vile Parle,18:23,18:24,18:27,,,,18:34,,,18:36,,,18:38,18:38,
15,ANDHERI,18:28,18:30,18:32,18:23,,18:27,18:38,18:30,,18:41,18:35,18:27,18:42,18:42,
16,Jogeshwari,18:32,,18:36,,,18:32,18:42,,,18:45,18:40,,18:46,18:46,
17,Ram Mandir,18:35,,18:39,,,--,18:45,,,18:48,--,,18:49,18:49,
18,Goregaon,18:39,,18:41,,,18:37,18:48,,,18:51,18:45,,18:52,18:52,
19,Malad,,,18:45,,,18:41,18:52,,,,18:49,,18:56,18:56,
20,Kandivli,,,18:48,,,18:45,18:55,,,,18:52,,18:59,18:59,
21,BORIVALI,,,18:55,18:38,,18:52,19:01,18:41,18:50,,18:59,18:44,19:06,19:06,
22,Dahisar,,,,,,,19:05,18:45,18:55,NOT ON,NOT ON,,,ON SUN,
23,Mira Road,,,,,,,19:09,18:49,19:00,SUN,SUN,,,ONLY,
24,Bhayandar,,,,,,,19:14,18:53,19:06,ONLY,ONLY,18:57,,,
25,Naigaon,,,,,,,19:20,18:58,19:12,,,,,,
26,Vasai Road,,,,,,,19:25,19:03,19:18,,,19:06,,,
