,STATIONS DN TRAINS,BVI 90753 12 CAR,VR 92161 12 CAR,BVI 90755 12 CAR,VR 94061 12 CAR,VR 94061 12 CAR.1,BVI 90759 12 CAR,BVI 90759 12 CAR.1,BVI 90761 12 CAR,BVI 90761 12 CAR.1,NSP 92163 15 CAR,NSP 92163 15 CAR.1,BVI 90763 12 CAR,BVI 90763 12 CAR.1,BVI 90765 12 CAR,BVI 90765 12 CAR.1,BA 90767 12 CAR,BA 90767 12 CAR.1,BYR 90769 12 CAR,BYR 90769 12 CAR.1,VR 92165 15 CAR,VR 92165 15 CAR.1,BYR 90771 12 CAR,BYR 90771 12 CAR.1,BVI 90773 12 CAR,BVI 90773 12 CAR.1,Unnamed: 26
0,CHURCHGATE,18:25,,18:28,18:28,18:28,18:32,18:32,18:31,18:31,,,18:35,18:35,18:35,18:35,18:38,18:38,18:46,18:46,,,18:41,18:41,,,
1,Marine Lines,18:28,,18:31,18:31,18:31,18:35,18:35,18:34,18:34,,,18:38,18:38,18:38,18:38,18:41,18:41,18:49,18:49,,,18:44,18:44,,,
2,Charni Road,18:30,,18:33,18:33,18:33,18:37,18:37,18:36,18:36,,,18:40,18:40,18:40,18:40,18:43,18:43,18:51,18:51,,,18:46,18:46,,,
3,Grant Road,18:33,,18:36,18:36,18:36,18:40,18:40,18:39,18:39,,,18:43,18:43,18:43,18:43,18:46,18:46,18:54,18:54,,,18:49,18:49,,,
4,M'BAI CENTRAL (L),18:35,,18:38,18:38,18:38,18:42,18:42,18:41,18:41,,,18:45,18:45,18:45,18:45,18:48,18:48,18:56,18:56,,,18:51,18:51,,,
5,Mahalakshmi,,,18:41,Air,Air,18:45,18:45,,,,,18:48,18:48,,,18:51,18:51,,,,,18:54,18:54,,,
6,Lower Parel,,,18:44,Condition,Condition,18:48,18:48,,,,,18:51,18:51,,,18:54,18:54,,,,,18:57,18:57,,,
7,Prabhadevi,,,18:47,,,18:51,18:51,,,,,18:54,18:54,,,18:57,18:57,,,,,19:00,19:00,,,
8,DADAR,18:42,,18:49,18:45,18:45,18:53,18:53,18:48,18:48,,,18:56,18:56,18:52,18:52,18:59,18:59,19:03,19:03,,,19:02,19:02,,,
9,Matunga Road,,,18:51,,,18:55,18:55,,,,,18:58,18:58,,,19:01,19:01,,,,,19:04,19:04,,,
10,Mahim Jn.,,,18:54,,,18:58,18:58,,,,,19:01,19:01,,,19:04,19:04,,,,,19:07,19:07,,,
11,BANDRA,18:48,,18:58,18:51,18:51,19:02,19:02,18:54,18:54,,,19:05,19:05,18:58,18:58,19:09,19:09,19:08,19:08,,,19:11,19:11,19:15,19:15,
12,Khar Road,,,19:02,,,19:06,19:06,,,,,19:09,19:09,,,,,,,,,19:15,19:15,19:19,19:19,
