STATIONS DN TRAINS,GMN 90801 12 CAR,VR 92171 15 CAR,DRD 93033 12 CAR,BVI 90803 12 CAR,BYR 94065 12 CAR,VR 92173 15 CAR,VR 90807 12 CAR,VR 90807 12 CAR.1,BVI 90809 12 CAR,BVI 90809 12 CAR.1,BYR 90811 12 CAR,BYR 90811 12 CAR.1,BYR 90811 12 CAR.2,BVI 90813 12 CAR,BVI 90813 12 CAR.1,BVI 90815 12 CAR,BVI 90815 12 CAR.1,BA 90817 12 CAR,BA 90817 12 CAR.1,VR 90819 12 CAR,VR 90819 12 CAR.1,VR 92175 15 CAR,VR 92175 15 CAR.1
CHURCHGATE,19:14,19:15,,19:19,,,,,19:20,19:20,,,,19:25,19:25,19:25,19:25,19:28,19:28,19:30,19:30,,
Marine Lines,19:17,,,19:22,,,,,19:23,19:23,,,,19:28,19:28,19:28,19:28,19:31,19:31,19:33,19:33,,
Charni Road,19:19,,,19:24,,,,,19:25,19:25,,,,19:30,19:30,19:30,19:30,19:33,19:33,19:35,19:35,,
Grant Road,19:22,,,19:27,,,,,19:28,19:28,,,,19:33,19:33,19:33,19:33,19:36,19:36,19:38,19:38,,
M'BAI CENTRAL (L),19:24,19:24,,19:29,,,,,19:30,19:30,,,,19:35,19:35,19:35,19:35,19:38,19:38,19:40,19:40,,
Mahalakshmi,19:27,,,,Air,,,,19:33,19:33,,,,19:38,19:38,,,19:41,19:41,,,NOT ON,NOT ON
Lower Parel,19:30,,,,Condition,,,,19:36,19:36,,,,19:41,19:41,,,19:44,19:44,,,SUN,SUN
Prabhadevi,19:33,,,,,,,,19:39,19:39,,,,19:44,19:44,,,19:47,19:47,,,ONLY,ONLY
DADAR,19:35,19:31,,19:35,19:38,,,,19:41,19:41,,,,19:46,19:46,19:42,19:42,19:49,19:49,19:47,19:47,,
Matunga Road,19:37,,,,,,,,19:43,19:43,,,,19:48,19:48,,,19:51,19:51,,,,
Mahim Jn.,19:40,,,,,,,,19:46,19:46,,,,19:51,19:51,,,19:54,19:54,,,,
BANDRA,19:44,19:38,,19:41,19:45,,,,19:50,19:50,19:52,19:52,19:52,19:55,19:55,19:48,19:48,19:59,19:59,19:52,19:52,,
