STATIONS DN TRAINS,BVI 90841 12 CAR,BVI 90843 12 CAR,GMN 90845 12 CAR,DRD 93035 12 CAR,VR 94069 12 CAR,BVI 90849 12 CAR,VR 90851 12 CAR,BVI 90853 12 CAR,BA 90855 12 CAR,GMN 90857 12 CAR,BVI 90859 12 CAR,GMN 90861 12 CAR,BVI 90863 12 CAR,VR 92183 15 CAR
CHURCHGATE,19:54,19:54,19:57,,19:58,20:01,20:03,,20:04,20:07,20:10,20:10,20:13,20:14
Marine Lines,19:57,19:57,20:00,,20:01,20:04,20:06,,20:07,20:10,20:13,20:13,20:16,
Charni Road,19:59,19:59,20:02,,20:03,20:06,20:08,,20:09,20:12,20:15,20:15,20:18,
Grant Road,20:02,20:02,20:05,,20:06,20:09,20:11,,20:12,20:15,20:18,20:18,20:21,
M'BAI CENTRAL (L),20:04,20:04,20:07,,20:08,20:11,20:13,,20:14,20:17,20:20,20:20,20:23,20:23
Mahalakshmi,20:07,,20:10,,Air,20:14,,,20:17,20:20,,20:23,20:26,
Lower Parel,20:10,,20:13,,Condition,20:17,,,20:20,20:23,,20:26,20:29,
Prabhadevi,20:13,,20:16,,,20:20,,,20:23,20:26,,20:29,20:32,
DADAR,20:15,20:11,20:19,,20:15,20:22,20:20,20:23,20:25,20:28,20:27,20:31,20:34,20:30
Matunga Road,20:17,,20:21,,,20:24,,,20:27,20:30,,20:33,20:36,
Mahim Jn.,20:20,,20:24,,,20:27,,,20:30,20:33,,20:36,20:39,
BANDRA,20:24,20:17,20:28,,20:21,20:31,20:25,20:29,20:34,20:37,20:33,20:40,20:43,20:36
Khar Road,20:28,,20:32,,,20:34,,,,20:40,,20:43,20:46,
Santa Cruz,20:30,,20:34,,,20:36,,,,20:42,,20:46,20:48,
Vile Parle,20:33,,20:37,,,20:39,,,,20:45,,20:49,20:51,
ANDHERI,20:39,20:27,20:42,,20:31,20:46,20:34,20:37,,20:51,20:42,20:55,20:56,20:45
Jogeshwari,20:43,,20:46,,,20:49,,20:40,,20:55,20:46,20:59,20:59,
Ram Mandir,20:46,,20:49,,ON SAT,20:52,,--,,20:58,--,21:02,21:02,
Goregaon,20:48,,20:52,,& SUN,20:54,,20:44,,21:02,20:51,21:06,21:04,
Malad,20:52,,,,NON AC,20:58,,20:48,,,20:55,,21:08,
Kandivli,20:55,,,,,21:01,,20:51,,,20:58,,21:11,
BORIVALI,21:01,20:42,,,20:45,21:09,20:51,20:57,,,21:04,,21:17,20:59
Dahisar,,,,,20:49,,20:56,,NOT ON,,NOT ON,,,21:03
Mira Road,,,,,20:54,,21:00,,SUN,,SUN,,,21:08
Bhayandar,,,,,20:59,,21:05,,ONLY,,ONLY,,,21:13
Naigaon,,,,,21:05,,21:11,,,,,,,21:19
Vasai Road,,,,,21:10,,21:16,,,,,,,21:24
Nalla Sopara,,,,,21:15,,21:21,,,,,,,21:29
VIRAR,,,,21:20,21:21,,21:28,,,,,,,21:37
STATIONS DN TRAINS,VR 90865 12 CAR,BYR 90867 12 CAR,BVI 90869 12 CAR,BVI 90871 12 CAR,DRD 93037 12 CAR,VR 92185 12 CAR,VR 90873 12 CAR,BA 90875 12 CAR,VR 90877 12 CAR,NSP 94071 12 CAR,VR 90879 12 CAR,GMN 90881 12 CAR,BYR 90883 12 CAR,BVI 90885 12 CAR
CHURCHGATE,,,20:17,20:20,20:20,,,20:24,20:24,20:27,,20:27,,20:30
Marine Lines,,,20:20,20:23,20:23,,,20:27,20:27,20:30,,20:30,,20:33
Charni Road,,,20:22,20:25,20:25,,,20:29,20:29,20:32,,20:32,,20:35
Grant Road,,,20:25,20:28,20:28,,,20:32,20:32,20:35,,20:35,,20:38
M'BAI CENTRAL (L),,,20:27,20:30,20:30,,,20:34,20:34,20:37,,20:37,,20:40
Mahalakshmi,,,,20:33,,,,20:37,,Air,,20:40,,20:43
Lower Parel,,NOT ON,,20:36,,,,20:40,,Condition,,20:43,,20:46
Prabhadevi,,SUN,,20:39,,,,20:43,,,,20:46,,20:49
DADAR,,ONLY,20:34,20:41,20:37,,,20:45,20:41,20:44,20:47,20:48,,20:51
Matunga Road,,,,20:43,,,,20:47,,,,20:50,,20:53
Mahim Jn.,,,,20:46,,,,20:50,,,,20:53,,20:56
BANDRA,,20:46,20:39,20:50,20:42,,,20:55,20:46,20:49,20:54,20:57,,21:00
Khar Road,,20:50,,20:53,,,,,,,,21:01,,21:04
Santa Cruz,,20:52,,20:56,,,,,,,,21:04,,21:06
Vile Parle,,20:55,,20:59,,,,,,,,21:07,,21:09
