,STATIONS DN TRAINS,BA 91039 12 CAR,BVI 91041 12 CAR,VR 91043 12 CAR,BYR 91045 12 CAR,ADH 91047 12 CAR,BVI 91049 12 CAR,BYR 91051 12 CAR,VR 91053 12 CAR,BVI 91055 12 CAR
0,CHURCHGATE,00:13,00:16,00:20,00:28,00:31,00:38,00:43,00:50,01:00
1,Marine Lines,00:16,00:19,00:23,00:31,00:34,00:41,00:46,00:53,01:03
2,Charni Road,00:18,00:21,00:25,00:33,00:36,00:43,00:48,00:55,01:05
3,Grant Road,00:21,00:24,00:28,00:36,00:39,00:46,00:51,00:58,01:08
4,M'BAI CENTRAL (L),00:23,00:26,00:30,00:38,00:41,00:48,00:53,01:00,01:10
5,Mahalakshmi,00:26,00:29,00:33,00:41,00:44,00:51,00:56,01:03,01:13
6,Lower Parel,00:29,00:32,00:36,00:44,00:47,00:54,00:59,01:06,01:16
7,Prabhadevi,00:32,00:35,00:39,00:47,00:50,00:57,01:02,01:09,01:19
8,DADAR,00:34,00:37,00:41,00:49,00:52,00:59,01:04,01:11,01:21
9,Matunga Road,00:36,00:39,00:43,00:51,00:54,01:01,01:06,01:13,01:23
10,Mahim Jn.,00:39,00:42,00:46,00:54,00:57,01:04,01:09,01:16,01:26
11,BANDRA,00:44,00:46,00:50,00:58,01:01,01:08,01:13,01:21,01:30
12,Khar Road,,00:49,00:53,01:01,01:04,01:11,01:16,01:24,01:33
13,Santa Cruz,,00:51,00:55,01:03,01:06,01:13,01:18,01:26,01:35
14,Vile Parle,,00:54,00:58,01:06,01:09,01:16,01:21,01:29,01:38
15,ANDHERI,,01:00,01:04,01:11,,01:22,01:27,01:34,01:44
16,Jogeshwari,,01:03,01:07,01:14,,01:25,01:30,01:37,01:47
17,Ram Mandir,,01:06,01:10,01:17,,01:28,01:33,01:40,01:50
18,Goregaon,,01:08,01:12,01:19,,01:30,01:35,01:42,01:52
19,Malad,,01:12,01:16,01:23,,01:34,01:39,01:46,01:56
20,Kandivli,,01:15,01:19,01:26,,01:37,01:42,01:49,01:59
21,BORIVALI,,01:22,01:24,01:32,,01:43,01:48,01:54,02:05
22,Dahisar,,NOT ON,01:27,01:36,,,01:52,01:58,
23,Mira Road,,SUN,01:32,01:41,,,01:57,02:03,
24,Bhayandar,,ONLY,01:37,01:48,,,02:03,02:08,
25,Naigaon,,,01:43,,,,,02:14,
26,Vasai Road,,,01:48,,,,,02:19,
27,Nalla Sopara,,,01:53,,,,,02:24,
28,VIRAR,,,02:00,,,,,02:30,
