STATIONS UP TRAINS,ADH 90002 12 CAR,BVI 90004 12 CAR,VR 90006 12 CAR,BVI 90008 12 CAR,BVI 90010 12 CAR,VR 90012 12 CAR,BVI 90014 12 CAR,BVI 90016 12 CAR,VR 90018 12 CAR,BYR 90020 12 CAR,BVI 90022 12 CAR,NSP 94002 12 CAR,BVI 94004 12 CAR,VR 90028 12 CAR
VIRAR,,,03:25,NOT ON,,03:35,,,03:45,,,,ON SAT,04:00
Nalla Sopara,,,03:31,SUN,,03:41,,,03:51,,,04:00,& SUN,04:06
VASAI ROAD,,,03:36,ONLY,,03:47,,,03:56,,,04:06,NON AC,04:11
Naigaon,,,03:41,,,03:51,,,04:01,,,04:11,Air,04:15
BHAYANDAR,,,03:47,,,03:57,,,04:07,04:10,,04:16,Condition,04:21
Mira Road,,,03:52,,,04:02,,,04:12,04:16,,04:21,,04:26
Dahisar,,,03:56,,,04:06,,,04:16,04:20,,04:25,,04:30
BORIVALI,,03:50,04:00,04:05,04:10,04:11,04:15,04:20,04:21,04:25,04:25,04:29,04:32,04:35
Kandivali,,03:55,04:04,04:11,04:16,,04:20,04:26,,,04:31,,04:37,
Malad,,03:58,04:07,04:14,04:19,,04:23,04:29,,,04:34,ON SAT,04:40,
Goregaon,,04:01,04:10,04:17,04:22,,04:26,04:32,,,04:37,& SUN,04:43,
Ram Mandir,,04:03,04:12,04:19,04:24,,04:28,04:34,,,04:39,NON AC,04:45,
Jogeshwari,,04:06,04:15,04:22,04:27,,04:31,04:37,,,04:42,,04:48,
ANDHERI,04:05,04:11,04:20,04:27,04:32,,04:36,04:42,04:35,04:39,04:46,,04:52,
Vile Parle,04:09,04:14,04:23,04:30,04:35,,04:39,04:45,,,04:49,Air,04:56,
Santa Cruz,04:12,04:17,04:26,04:33,04:38,,04:42,04:48,,,04:52,Condition,04:59,
Khar Road,04:15,04:20,04:29,04:36,04:41,,04:45,04:51,,,04:55,,05:02,
BANDRA,04:19,04:24,04:33,04:40,04:45,,04:49,04:55,04:45,04:48,04:59,,05:06,
Mahim Jn.,04:22,04:27,04:36,04:43,04:48,,04:52,04:58,,,05:02,,05:09,
Matunga Road,04:25,04:30,04:39,04:46,04:51,,04:55,05:01,,,05:05,,05:12,
DADAR,04:28,04:33,04:42,04:49,04:54,,04:58,05:04,04:51,04:54,05:08,,05:15,
Prabhadevi,04:31,04:36,04:45,04:52,04:57,,05:01,05:07,,,05:11,,05:18,
Lower Parel,04:34,04:39,04:48,04:55,05:00,,05:04,05:10,,,05:14,,05:21,
Mahalakshmi,04:37,04:42,04:51,04:58,05:03,,05:07,05:13,,,05:17,,05:24,
M'BAI CENTRAL(L,04:40,04:45,04:54,05:01,05:06,,05:10,05:16,04:58,05:01,05:20,,05:27,
Grant Road,04:42,04:47,04:56,05:03,05:08,,05:12,05:18,05:00,05:03,05:22,,05:29,
Charni Road,04:44,04:49,04:58,05:05,05:10,,05:14,05:20,05:02,05:05,05:24,,05:31,
Marine Lines,04:47,04:52,05:01,05:08,05:13,,05:17,05:23,05:05,05:08,05:27,,05:34,
CHURCHGATE,04:50,04:56,05:05,05:12,05:16,,05:21,05:26,05:09,05:12,05:30,,05:37,
