,STATIONS UP TRAINS,Borivali 90030 12 CAR,Borivali 90032 12 CAR,Virar 92002 15 CAR,Bhayandar 90034 12 CAR,Borivali 90036 12 CAR,Virar 90038 12 CAR,Borivali 90040 12 CAR,Bhayandar 90042 12 CAR,Goregoan 90044 12 CAR,Nalla Sopara 90046 12 CAR,Borivali 90048 12 CAR,Bhayandar 90050 12 CAR,Virar 90052 12 CAR,Borivali 90054 12 CAR,Nalla Sopara # 94080 12 CAR
0,VIRAR,,,04:05,,,04:21,,,,,,,04:43,,AC
1,Nalla Sopara,,,,,,04:27,,,,04:35,,,04:50,,04:55
2,VASAI ROAD,,,04:15,,,04:32,,,,04:41,,,04:55,,05:00
3,Naigaon,,,,,,04:36,,,,04:45,,,04:59,,05:05
4,BHAYANDAR,,,04:23,04:25,,04:42,,04:45,,04:51,,05:00,05:05,,05:11
5,Mira Road,,,,04:31,,04:47,,04:51,,04:56,,05:06,05:10,,05:16
6,Dahisar,,,,04:35,,04:51,,04:55,,05:00,,05:10,05:14,,05:20
7,BORIVALI,04:38,04:42,04:33,04:41,04:53,04:56,04:58,05:00,,05:05,05:10,05:15,05:18,05:20,05:24
8,Kandivali,04:43,04:48,,,04:59,,05:04,,,,05:14,05:19,,05:26,05:29
9,Malad,04:46,04:51,,,05:02,,05:07,,,,05:17,05:22,,05:29,05:32
10,Goregaon,04:49,04:54,,,05:05,,05:10,,05:14,,05:20,05:25,,05:32,05:35
11,Ram Mandir,04:51,04:56,,,05:07,,05:12,,05:18,,05:22,05:27,,05:34,05:37
12,Jogeshwari,04:54,04:59,,,05:10,,05:15,,05:20,,05:25,05:30,,05:37,05:40
13,ANDHERI,05:00,05:04,04:48,04:53,05:15,05:09,05:20,05:13,05:24,05:17,05:29,05:35,05:33,05:42,05:45
14,Vile Parle,05:03,05:08,,,05:19,,05:24,,05:28,,05:33,05:38,,05:45,05:48
15,Santa Cruz,05:06,05:11,,,05:22,,05:27,,05:31,,05:36,05:41,,05:48,05:51
16,Khar Road,05:09,05:14,,,05:25,,05:30,,05:34,,05:39,05:44,,05:51,05:54
17,BANDRA,05:13,05:18,04:57,05:02,05:29,05:18,05:34,05:22,05:38,05:26,05:43,05:48,05:42,05:55,05:58
18,Mahim Jn.,05:16,05:21,,,05:32,,05:37,,05:41,,05:46,05:51,,05:58,06:01
19,Matunga Road,05:19,05:24,,,05:35,,05:40,,05:44,,05:49,05:54,,06:01,06:04
20,DADAR,05:22,05:27,05:04,05:08,05:38,05:24,05:43,05:28,05:48,05:32,05:52,05:57,05:48,06:04,06:07
21,Prabhadevi,05:25,05:30,,,05:41,,05:46,,05:50,,05:55,06:00,,06:07,06:10
22,Lower Parel,05:28,05:33,,,05:44,,05:49,,05:53,,05:58,06:03,,06:10,06:13
23,Mahalakshmi,05:31,05:36,,,05:47,,05:52,,05:56,,06:01,06:06,,06:13,06:16
24,M'BAI CENTRAL(L,05:34,05:39,,05:15,05:50,05:31,05:55,05:35,05:59,05:39,06:04,06:09,05:55,06:16,06:19
25,Grant Road,05:36,05:41,,05:17,05:52,05:33,05:57,05:37,06:01,05:41,06:06,06:11,05:57,06:18,06:21
26,Charni Road,05:38,05:43,,05:19,05:54,05:35,05:59,05:39,06:03,05:43,06:08,06:13,05:59,06:20,06:23
27,Marine Lines,05:41,05:46,,05:22,05:57,05:38,06:02,05:42,06:06,05:46,06:11,06:16,06:02,06:23,06:26
28,CHURCHGATE,05:44,05:49,,05:26,06:00,05:42,06:06,05:46,06:10,05:52,06:15,06:21,06:07,06:27,06:30
29,,,,,,,,,,,,,,# NON,,
30,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN,AC ON SAT & SUN
