STATIONS UP TRAINS,Virar 92004 15 CAR,Borivali 94082 12 CAR,Bhayandar 94084 12 CAR,Virar 92006 15 CAR,Nalla Sopara 92008 15 CAR,Bhayandar 94086 12 CAR,Borivali 94088 12 CAR,Borivali 94090 12 CAR,Goregoan 94092 12 CAR,Virar 94094 12 CAR,Bhayandar 94096 12 CAR,Virar 94098 12 CAR,Borivali 94100 12 CAR,Borivali 94102 12 CAR,Nalla Sopara 92010 15 CAR
VIRAR,04:51,,NOT ON,05:08,,,,,,05:11,,05:24,,,
Nalla Sopara,04:58,,SUN,,05:08,,,,,05:18,,,,,05:30
VASAI ROAD,05:04,,ONLY,05:18,05:13,,,,,05:23,,05:34,,,05:36
Naigaon,05:09,,,,05:17,,,,,05:28,,,,,05:41
BHAYANDAR,05:15,,05:18,05:26,05:23,05:29,,,,05:34,05:38,05:42,,,05:47
Mira Road,05:20,,05:24,,05:28,05:35,,,,05:39,05:44,,,,05:52
Dahisar,05:24,,05:28,,05:32,05:39,,,,05:43,05:48,,,,05:56
BORIVALI,05:29,05:30,05:33,05:36,05:37,05:45,05:41,05:45,,05:49,05:52,05:52,05:54,05:57,06:01
Kandivali,,05:35,05:38,,05:42,,05:47,05:51,,,05:57,,06:00,06:03,06:06
Malad,NOT ON,05:38,05:41,,05:45,,05:50,05:54,,,06:00,,06:03,06:06,06:09
Goregaon,SUN,05:41,05:44,,05:48,,05:53,05:57,05:56,,06:03,,06:06,06:09,06:12
Ram Mandir,ONLY,05:43,05:46,,05:50,,05:55,05:59,06:00,,06:05,,06:08,06:11,06:14
Jogeshwari,,05:46,05:49,,05:53,,05:58,06:02,06:02,,06:08,,06:11,06:14,06:17
ANDHERI,05:44,05:50,05:53,05:51,06:00,05:58,06:03,06:06,06:06,06:03,06:13,06:07,06:16,06:19,06:24
Vile Parle,,05:53,05:56,,,,06:06,06:09,06:10,,06:17,,06:20,06:23,
Santa Cruz,,05:56,05:59,,,,06:09,06:12,06:13,,06:20,,06:23,06:26,
Khar Road,,05:59,06:02,,,,06:12,06:15,06:16,,06:23,,06:26,06:29,
BANDRA,05:53,06:03,06:06,06:01,,06:07,06:16,06:19,06:22,06:12,06:27,06:17,06:31,06:34,
Mahim Jn.,,06:06,06:09,,,,06:19,06:22,06:25,,06:30,,06:34,06:37,
Matunga Road,,06:09,06:12,,,,06:22,06:25,06:28,,06:33,,06:37,06:40,
DADAR,06:00,06:13,06:16,06:09,,06:13,06:26,06:29,06:32,06:18,06:37,06:23,06:41,06:44,
Prabhadevi,,06:15,06:18,,,,06:28,06:31,06:34,,06:39,,06:43,06:46,
Lower Parel,,06:18,06:21,,,,06:31,06:34,06:37,,06:42,,06:46,06:49,
Mahalakshmi,,06:21,06:24,,,,06:34,06:37,06:40,,06:45,,06:49,06:52,
M'BAI CENTRAL(L,06:08,06:24,06:27,06:16,,06:21,06:37,06:40,06:43,06:25,06:48,06:30,06:52,06:55,
Grant Road,,06:26,06:29,,,06:23,06:39,06:42,06:45,06:27,06:50,06:32,06:54,06:57,
Charni Road,,06:28,06:31,,,06:25,06:41,06:44,06:47,06:29,06:52,06:34,06:56,06:59,
Marine Lines,,06:31,06:34,,,06:28,06:44,06:47,06:50,06:32,06:55,06:37,06:59,07:02,
CHURCHGATE,06:17,06:34,06:37,06:25,,06:32,06:47,06:51,06:54,06:38,06:59,06:44,07:02,07:06,
