,STATIONS UP TRAINS,Virar 90182 12 CAR,Borivali 94082 12 CAR,Borivali 94082 12 CAR.1,Virar 92028 15 CAR,Virar 92028 15 CAR.1,Virar 94012 12 CAR,Virar 94012 12 CAR.1,Virar 94012 12 CAR.2,Virar 94012 12 CAR.3,Virar 92030 15 CAR,Virar 92030 15 CAR.1,Virar 92032 15 CAR,Bhayandar 94084 12 CAR,Bhayandar 94084 12 CAR.1,Goregoan 94086 12 CAR,Virar 94088 12 CAR,Malad 94090 12 CAR,Borivali 94092 12 CAR,Vasai Road 92034 15 CAR,Virar 94094 12 CAR,Virar 94094 12 CAR.1,Borivali 90198 12 CAR,Borivali 90198 12 CAR.1
0,VIRAR,07:06,Air,Air,07:11,07:11,07:15,07:15,07:15,07:15,07:19,07:19,07:18,,,,07:25,,NOT ON,,07:30,07:30,,
1,Nalla Sopara,07:12,Condition,Condition,07:17,07:17,07:21,07:21,07:21,07:21,07:26,07:26,,,,,07:31,,SUN,,07:37,07:37,,
2,VASAI ROAD,07:18,,,07:22,07:22,07:26,07:26,07:26,07:26,07:31,07:31,07:27,,,,07:36,,ONLY,07:40,07:42,07:42,,
3,Naigaon,07:24,ON SAT,ON SAT,07:28,07:28,07:31,07:31,07:31,07:31,07:36,07:36,,,,,07:41,,,07:46,07:48,07:48,,
4,BHAYANDAR,07:30,& SUN,& SUN,07:34,07:34,07:37,07:37,07:37,07:37,07:41,07:41,07:35,07:43,07:43,,07:47,,,07:52,07:54,07:54,,
5,Mira Road,07:35,NON AC,NON AC,07:39,07:39,07:42,07:42,07:42,07:42,07:46,07:46,T,07:49,07:49,,07:52,,,07:57,07:59,07:59,,
6,Dahisar,07:40,,,07:43,07:43,07:46,07:46,07:46,07:46,07:50,07:50,,07:53,07:53,,07:56,,,08:01,08:04,08:04,,
7,BORIVALI,07:46,07:47,07:47,07:49,07:49,07:53,07:53,07:53,07:53,07:55,07:55,07:43,07:58,07:58,,08:01,,08:03,08:05,08:09,08:09,08:06,08:06
8,Kandivali,,07:52,07:52,07:55,07:55,07:58,07:58,07:58,07:58,,,,,,,08:05,,08:08,,,,08:11,08:11
9,Malad,,07:55,07:55,07:58,07:58,08:01,08:01,08:01,08:01,,,,,,,08:08,08:06,08:11,,,,08:14,08:14
10,Goregaon,,07:58,07:58,08:01,08:01,08:04,08:04,08:04,08:04,,,,,,08:07,08:11,,08:14,,,,08:17,08:17
11,Ram Mandir,,--,--,08:03,08:03,--,--,--,--,,,,,,08:10,08:13,,08:16,,,,08:20,08:20
12,Jogeshwari,,08:03,08:03,08:06,08:06,08:09,08:09,08:09,08:09,,,,,,08:13,08:16,08:12,08:19,,,,08:22,08:22
13,ANDHERI,08:02,08:08,08:08,08:12,08:12,08:14,08:14,08:14,08:14,,,07:59,08:11,08:11,08:16,08:20,08:17,08:23,08:20,08:23,08:23,08:27,08:27
14,Vile Parle,,,,,,Air,Air,Air,Air,,,,,,08:19,08:23,,08:26,,,,08:30,08:30
15,Santa Cruz,,,,,,Condition,Condition,Condition,Condition,,,,,,08:22,08:26,,08:29,,,,08:33,08:33
16,Khar Road,,,,,,,,,,,,,,,08:25,08:29,,08:32,,,,08:36,08:36
17,BANDRA,08:11,08:18,08:18,,,08:24,08:24,08:24,08:24,,,08:09,08:21,08:21,08:30,08:34,08:27,08:36,,08:33,08:33,08:40,08:40
18,Mahim Jn.,,,,,,,,,,,,,,,08:33,,,08:39,,,,08:43,08:43
19,Matunga Road,,,,,,,,,,,,,,,08:36,,,08:42,,,,08:46,08:46
20,DADAR,08:17,08:24,08:24,,,08:30,08:30,08:30,08:30,,,08:16,08:27,08:27,08:39,,08:33,08:45,,08:39,08:39,08:50,08:50
