,STATIONS UP TRAINS,VR 94036 12 CAR,BVI 90490 12 CAR,BVI 90492 12 CAR,BVI 90494 12 CAR,BVI 90496 12 CAR,VR 90498 12 CAR,BSR 90500 12 CAR,VR 90500A 12 CAR,VR 92100 15 CAR,GMN 90502 12 CAR,BVI 90504 12 CAR,VR 92102 15 CAR,BYR 90506 12 CAR,BVI 90508 12 CAR,VR 92104 15 CAR
0,VIRAR,12:48,,,,,12:55,,13:14,13:02,,,13:06,,NOT ON,13:11
1,Nalla Sopara,,,,,,13:01,,,13:08,,,13:12,,SUN,13:18
2,VASAI ROAD,12:57,,,,,13:06,13:09,13:23,13:13,,,13:17,,ONLY,13:23
3,Naigaon,,,,,,13:11,13:15,,13:18,,,13:21,,,13:28
4,BHAYANDAR,13:05,,,,,13:17,13:21,13:30,13:23,,,13:26,13:30,,13:34
5,Mira Road,,,,,,13:23,13:27,,13:28,,,13:31,13:36,,13:40
6,Dahisar,,,,,,13:27,13:31,13:38,13:32,,,13:36,13:40,,13:44
7,BORIVALI,13:14,13:22,13:29,13:32,13:35,13:34,13:37,P,13:37,,13:40,13:42,13:45,13:46,13:49
8,Kandivali,,13:30,13:34,13:37,13:40,,,,13:42,,13:46,,,13:52,
9,Malad,,13:33,13:37,13:40,13:43,,,,13:45,,13:49,,,13:55,
10,Goregaon,,13:36,13:40,13:43,13:47,,,,13:48,13:49,13:52,,,13:58,
11,Ram Mandir,,13:38,13:42,--,13:49,,,,13:50,13:52,13:54,,,14:00,
12,Jogeshwari,,13:41,13:45,13:48,13:52,,,,13:53,13:55,13:57,,,14:03,
13,ANDHERI,13:26,13:46,13:50,13:53,13:56,13:46,13:49,13:53,14:00,13:59,14:02,13:55,13:59,14:07,14:05
14,Vile Parle,Air,13:50,13:54,,13:59,,,,,14:03,14:06,,,14:11,
15,Santa Cruz,Condition,13:53,13:57,,14:02,,,,,14:06,14:09,,,14:14,
16,Khar Road,,13:56,14:00,,14:05,,,,,14:09,14:12,,,14:17,
17,BANDRA,13:36,14:01,14:05,14:03,14:09,13:56,13:59,,,14:13,14:16,14:05,14:09,14:21,14:14
18,Mahim Jn.,,14:04,14:08,,14:12,,,,,14:16,14:19,,,14:24,
19,Matunga Road,,14:07,14:11,,14:15,,,,,14:19,14:22,,,14:27,
20,DADAR,13:42,14:11,14:15,14:09,14:19,14:02,14:05,,,14:22,14:26,14:11,14:15,14:31,14:22
21,Prabhadevi,,14:13,14:17,,14:21,,,,,14:24,14:28,,,14:33,
22,Lower Parel,,14:16,14:20,,14:24,,,,,14:27,14:31,,,14:36,
23,Mahalakshmi,,14:19,14:23,,14:27,,,,,14:30,14:34,,,14:39,
24,M'BAI CENTRAL(L,13:49,14:22,14:26,14:16,14:30,14:09,14:12,,,14:33,14:37,,14:22,14:42,
25,Grant Road,13:51,14:24,14:28,14:18,14:32,14:11,14:14,,,14:35,14:39,,14:24,14:44,
26,Charni Road,13:53,14:26,14:30,14:20,14:34,14:13,14:16,,,14:37,14:41,,14:26,14:46,
27,Marine Lines,13:56,14:29,14:33,14:23,14:37,14:16,14:19,,,14:40,14:44,,14:29,14:49,
28,CHURCHGATE,14:00,14:32,14:38,14:30,14:41,14:20,14:23,,,14:44,14:48,,14:33,14:53,
