STATIONS UP TRAINS,VR 94038 12 CAR,BVI 90510 12 CAR,BVI 94040 12 CAR,VR 90512 12 CAR,BVI 90514 12 CAR,BVI 90516 12 CAR,VR 92106 15 CAR,BVI 90520 12 CAR,VR 90522 12 CAR,BVI 90524 12 CAR,BSR 90526 12 CAR,VR 94088 12 CAR,BVI 90532 12 CAR,VR 90534 12 CAR,Unnamed: 15
VIRAR,13:18,,ON SAT,13:25,,,13:29,,13:34,,,13:34,,13:42,
Nalla Sopara,13:24,,& SUN,13:31,,,13:36,,13:40,,,,,13:48,
VASAI ROAD,13:29,,NON AC,13:36,,,13:41,,13:45,,13:48,13:43,,13:53,
Naigaon,13:34,,Air,13:40,,,13:45,,13:49,,13:53,,,13:57,
BHAYANDAR,13:40,,Condition,13:46,,,13:51,,13:55,,13:59,13:51,,14:03,
Mira Road,13:45,,,13:51,,,13:56,,14:00,,14:04,,,14:08,
Dahisar,13:49,,,13:55,,,14:00,,14:04,,14:08,,,14:12,
BORIVALI,13:54,13:51,13:55,14:01,13:59,14:04,14:06,14:08,14:09,14:11,14:14,14:03,14:17,14:18,
Kandivali,,13:56,14:00,,14:05,14:09,,14:13,,14:16,14:20,Air,14:22,,
Malad,,13:59,14:03,,14:08,14:12,,14:16,,14:19,14:23,Condition,14:25,,
Goregaon,,14:02,14:06,,14:11,14:15,,14:19,,14:22,14:26,,14:28,,
Ram Mandir,,14:04,14:08,,14:13,14:17,,14:21,,14:24,14:28,,14:30,,
Jogeshwari,,14:07,14:11,,14:15,14:20,,14:24,,14:27,14:31,,14:33,,
ANDHERI,14:10,14:12,14:15,14:14,14:19,14:24,14:21,14:28,14:24,14:31,14:35,14:18,14:38,14:33,
Vile Parle,Air,14:15,14:18,,14:22,14:27,,14:31,,14:34,14:38,ON SAT,14:41,,
Santa Cruz,Condition,14:18,14:21,,14:25,14:30,,14:34,,14:37,14:41,& SUN,14:44,,
Khar Road,,14:21,14:24,,14:28,14:33,,14:37,,14:40,14:44,NON AC,14:47,,
BANDRA,14:19,14:25,14:28,14:23,14:32,14:37,,14:41,14:34,14:44,14:48,14:28,14:51,14:43,
Mahim Jn.,,14:28,14:31,,14:35,14:40,,14:44,,14:47,14:51,,14:54,,
Matunga Road,,14:31,14:34,,14:38,14:43,,14:47,,14:50,14:54,,14:57,,
DADAR,14:25,14:35,14:38,14:29,14:41,14:47,,14:51,14:39,14:54,14:58,14:34,15:01,14:49,
Prabhadevi,,14:37,14:40,,14:43,14:49,,14:53,,14:56,15:00,,15:03,,
Lower Parel,,14:40,14:43,,14:46,14:52,,14:56,,14:59,15:03,,15:06,,
Mahalakshmi,,14:43,14:46,,14:49,14:55,,14:59,,15:02,15:06,,15:09,,
M'BAI CENTRAL(L,14:32,14:46,14:49,14:36,14:52,14:58,,15:02,14:46,15:05,15:09,14:41,15:12,14:56,
Grant Road,14:34,14:48,14:51,14:38,14:54,15:00,,15:04,14:48,15:07,15:11,14:43,15:14,14:58,
Charni Road,14:36,14:50,14:53,14:40,14:56,15:02,,15:06,14:50,15:09,15:13,14:45,15:16,15:00,
Marine Lines,14:39,14:53,14:56,14:43,14:59,15:05,,15:09,14:53,15:12,15:16,14:48,15:19,15:03,
CHURCHGATE,14:44,14:57,15:00,14:47,15:02,15:08,,15:13,14:57,15:16,15:19,14:52,15:23,15:06,
STATIONS UP TRAINS,DRD 93016 12 CAR,BYR 90536 12 CAR,VR 92108 12 CAR,VR 92110 15 CAR,BVI 90538 12 CAR,DRD 93018 12 CAR,BVI 90540 12 CAR,VR 94042 12 CAR,BVI 90546 12 CAR,VR 90548 12 CAR,BVI 90550 12 CAR,VR 92112 15 CAR,BVI 90552 12 CAR,BVI 90554 12 CAR,BVI 90556 12 CAR
VIRAR,13:40,,13:46,13:52,,13:58,NOT ON,14:06,,14:05,NOT ON,14:09,,,
Nalla Sopara,,,13:53,13:58,,,SUN,14:12,,14:11,SUN,14:15,,,
VASAI ROAD,,,13:58,14:03,,14:09,ONLY,14:17,,14:16,ONLY,14:20,,,
Naigaon,,,14:04,14:08,,,,14:21,,14:20,,14:24,,,
BHAYANDAR,,14:07,14:10,14:14,,14:17,,14:26,,14:26,,14:30,,,
Mira Road,,14:12,14:15,14:19,,,,14:30,,14:31,,14:35,,,
Dahisar,,14:16,14:19,14:24,,,,14:34,,14:35,,14:39,,,
BORIVALI,,14:21,14:24,14:30,14:27,14:25,14:30,14:38,14:35,14:41,14:40,14:44,14:43,14:48,14:47
Kandivali,,14:25,14:28,,14:33,,14:36,Air,14:41,,14:46,,14:49,14:54,
Malad,,14:28,14:31,,14:36,,14:39,Condition,14:44,,14:49,,14:52,14:57,
Goregaon,,14:31,14:34,,14:39,,14:42,,14:47,,14:52,,14:55,15:00,
Ram Mandir,,--,14:36,,14:41,,14:44,,14:49,,14:54,,14:57,15:02,
Jogeshwari,,14:36,14:39,,14:43,,14:47,,14:52,,14:57,,15:00,15:05,
ANDHERI,,14:41,14:46,14:45,14:48,14:38,14:51,14:51,14:57,14:55,15:02,14:58,15:04,15:09,15:01
Vile Parle,,,,,14:51,,14:54,,15:00,,15:05,,15:07,15:12,
Santa Cruz,,,,,14:54,,14:57,,15:03,,15:08,,15:10,15:15,
Khar Road,,,,,14:57,,15:00,,15:06,,15:11,,15:13,15:18,
BANDRA,,14:51,,,15:01,14:47,15:04,15:00,15:10,15:04,15:15,15:07,15:17,15:22,15:10
Mahim Jn.,,,,,15:04,,15:07,,15:13,,15:18,,15:20,15:25,
Matunga Road,,,,,15:07,,15:10,,15:16,,15:21,,15:23,15:28,
DADAR,,14:57,,,15:11,14:53,15:14,15:06,15:20,15:10,15:25,15:14,15:27,15:32,15:16
Prabhadevi,,,,,15:13,,15:16,,15:22,,15:27,,15:29,15:34,
Lower Parel,,,,,15:16,,15:19,,15:25,,15:30,,15:32,15:37,
Mahalakshmi,,,,,15:19,,15:22,,15:28,,15:33,,15:35,15:40,
M'BAI CENTRAL(L,,15:04,,,15:22,15:00,15:25,15:13,15:31,15:17,15:36,,15:38,15:43,15:25
Grant Road,,15:06,,,15:24,15:02,15:27,15:15,15:33,15:19,15:38,,15:40,15:45,15:27
Charni Road,,15:08,,,15:26,15:04,15:29,15:17,15:35,15:21,15:40,,15:42,15:47,15:29
Marine Lines,,15:11,,,15:29,15:07,15:32,15:20,15:38,15:24,15:43,,15:45,15:50,15:32
CHURCHGATE,,15:15,,,15:32,15:11,15:35,15:23,15:41,15:28,15:46,,15:48,15:53,15:36
,,,,,,,,,,,,,,,
