STATIONS UP TRAINS,BVI 90622 12 CAR,VR 90624 12 CAR,BVI 90626 12 CAR,BYR 90628 12 CAR,VR 90630 12 CAR,BVI 94050 12 CAR,MDD 90634 12 CAR,GMN 90636 12 CAR,BVI 90638 12 CAR,BSR 92128 15 CAR,VR 92130 15 CAR,VR 92130 15 CAR.1,BVI 90640 12 CAR,BVI 90640 12 CAR.1,BVI 90642 12 CAR,BVI 90642 12 CAR.1,BYR 90644 12 CAR,BYR 90644 12 CAR.1,BVI 90646 12 CAR,BVI 90646 12 CAR.1,Unnamed: 21
VIRAR,,15:40,,,15:45,ON SAT,,,,,15:52,15:52,,,,,,,,,
Nalla Sopara,,15:46,,,15:51,& SUN,,,,,15:58,15:58,,,,,,,,,
VASAI ROAD,,15:51,,,15:56,NON AC,,,,16:00,16:03,16:03,,,,,,,,,
Naigaon,,15:56,,,16:02,Air,,,,16:05,16:07,16:07,,,,,,,,,
BHAYANDAR,,16:02,,16:05,16:08,Condition,,,,16:11,16:13,16:13,,,,,16:15,16:15,,,
Mira Road,,16:07,,16:11,16:14,,,,,16:16,16:18,16:18,,,,,16:22,16:22,,,
Dahisar,,16:11,,16:15,16:18,,,,,16:20,16:22,16:22,,,,,16:26,16:26,,,
BORIVALI,16:07,16:16,16:15,16:20,16:24,16:18,,,16:21,16:25,16:27,16:27,16:28,16:28,16:31,16:31,16:32,16:32,16:34,16:34,
Kandivali,16:14,,16:21,,,16:25,,,16:28,16:31,,,16:34,16:34,16:37,16:37,,,16:40,16:40,
Malad,16:17,,16:24,,,16:28,16:32,,16:31,16:34,,,16:37,16:37,16:40,16:40,,,16:43,16:43,
Goregaon,16:20,,16:27,,,16:31,,16:33,16:34,16:37,,,16:40,16:40,16:43,16:43,,,16:46,16:46,
Ram Mandir,16:22,,16:29,,,--,,16:36,16:36,16:39,,,16:42,16:42,16:45,16:45,,,16:48,16:48,
Jogeshwari,16:25,,16:32,,,16:36,,16:39,16:39,16:42,,,16:45,16:45,16:48,16:48,,,16:51,16:51,
ANDHERI,16:30,16:29,16:37,16:33,16:38,16:40,16:43,16:43,16:44,16:48,16:44,16:44,16:49,16:49,16:52,16:52,16:47,16:47,16:55,16:55,
Vile Parle,16:34,,16:41,,,,,16:48,16:49,,,,16:52,16:52,16:55,16:55,,,16:58,16:58,
Santa Cruz,16:37,,16:44,,,,,16:51,16:52,O/L,,,16:55,16:55,16:58,16:58,,,17:01,17:01,
Khar Road,16:40,,16:47,,,,,16:54,16:55,,,,16:58,16:58,17:01,17:01,,,17:04,17:04,
BANDRA,16:45,16:37,16:51,16:42,16:48,16:51,16:54,16:58,17:01,,,,17:04,17:04,17:07,17:07,16:57,16:57,17:10,17:10,
Mahim Jn.,16:48,,16:54,,,,,17:01,17:04,,,,17:07,17:07,17:10,17:10,,,17:13,17:13,
Matunga Road,16:51,,16:57,,,,,17:04,17:07,,,,17:10,17:10,17:13,17:13,,,17:16,17:16,
DADAR,16:55,16:43,17:01,16:47,16:54,16:57,17:00,17:08,17:11,,,,17:14,17:14,17:18,17:18,17:03,17:03,17:21,17:21,
Prabhadevi,16:57,,17:03,,,,,17:10,17:13,,,,17:16,17:16,17:21,17:21,,,17:24,17:24,
Lower Parel,17:00,,17:06,,,,,17:13,17:16,,,,17:19,17:19,17:24,17:24,,,17:27,17:27,
Mahalakshmi,17:03,,17:09,,,,,17:16,17:19,,,,17:22,17:22,17:27,17:27,,,17:30,17:30,
M'BAI CENTRAL(L,17:06,,17:12,16:54,17:01,17:04,17:07,17:19,17:22,,,,17:25,17:25,17:30,17:30,17:11,17:11,17:33,17:33,
Grant Road,17:08,,17:14,,,,,17:21,17:24,,,,17:27,17:27,17:32,17:32,,,17:35,17:35,
Charni Road,17:10,,17:16,,,,,17:23,17:26,,,,17:29,17:29,17:34,17:34,,,17:37,17:37,
Marine Lines,17:13,,17:19,,,,,17:26,17:29,,,,17:32,17:32,17:37,17:37,,,17:40,17:40,
CHURCHGATE,17:19,,17:25,17:03,17:09,17:12,17:15,17:30,17:33,,,,17:36,17:36,17:42,17:42,17:20,17:20,17:45,17:45,
STATIONS UP TRAINS,VR 92132 15 CAR,NSP 90648 12 CAR,BVI 90650 12 CAR,VR 90652 12 CAR,MDD 90654 12 CAR,GMN 90656 12 CAR,VR 90658 12 CAR,BVI 90660 12 CAR,BVI 90662 12 CAR,VR 94052 12 CAR,VR 94052 12 CAR,MDD 90664 12 CAR,MDD 90664 12 CAR,BVI 90666 12 CAR,BVI 90666 12 CAR,BYR 90668 12 CAR,BYR 90668 12 CAR,BVI 90670 12 CAR,BVI 90670 12 CAR,BSR 90672 12 CAR,BSR 90672 12 CAR
VIRAR,16:03,,,16:08,NOT ON,,16:12,NOT ON,,16:20,16:20,,,,,,,NOT ON,NOT ON,,
Nalla Sopara,16:09,16:08,,16:14,SUN,,16:18,SUN,,16:26,16:26,,,,,,,SUN,SUN,,
VASAI ROAD,16:14,16:14,,16:19,ONLY,,16:23,ONLY,,16:31,16:31,,,,,,,ONLY,ONLY,16:37,16:37
Naigaon,16:18,16:18,,16:23,,,16:27,,,16:35,16:35,,,,,,,,,16:43,16:43
BHAYANDAR,16:24,16:24,,16:29,,,16:33,,,16:41,16:41,,,,,16:45,16:45,,,16:49,16:49
