STATIONS UP TRAINS,BSR 90748 12 CAR,VR 90750 12 CAR,ADH 90752 12 CAR,BVI 90754 12 CAR,VR 92148 15 CAR,GMN 90756 12 CAR,BVI 90758 12 CAR,NSP 92150 15 CAR,BVI 90760 12 CAR,BA 90762 12 CAR,BVI 90764 12 CAR,VR 90766 12 CAR,VR 92152 15 CAR,VR 92152 15 CAR.1,MDD 90768 12 CAR,MDD 90768 12 CAR.1,BVI 90770 12 CAR,BVI 90770 12 CAR.1
VIRAR,,17:41,,,17:43,,,,,,,17:52,17:56,17:56,,,,
Nalla Sopara,,17:47,,,17:50,,,17:53,,,,17:58,18:02,18:02,,,,
VASAI ROAD,17:48,17:52,,,17:56,,,17:58,,,,18:03,18:07,18:07,,,,
Naigaon,17:54,17:57,,,18:00,,,18:03,,,,18:08,18:12,18:12,,,,
BHAYANDAR,18:00,18:03,,,18:06,,,18:09,,,,18:13,18:17,18:17,,,,
Mira Road,18:04,18:07,,,18:11,,,18:14,,,,18:18,18:21,18:21,,,,
Dahisar,18:08,18:11,,,18:15,,,18:18,,,,18:22,18:26,18:26,,,,
BORIVALI,18:13,18:16,,18:19,18:19,,18:24,18:22,18:24,,18:27,18:29,18:30,18:30,,,18:32,18:32
Kandivali,,,,18:23,,,,18:27,18:31,,18:34,,,,,,18:38,18:38
Malad,,,,18:26,,,,18:30,18:34,,18:37,,,,18:44,18:44,18:41,18:41
Goregaon,,,,18:29,,18:33,,18:33,18:37,,18:40,,,,,,18:44,18:44
Ram Mandir,,,,18:32,,18:36,,18:35,18:40,,18:42,,,,,,18:46,18:46
Jogeshwari,,,,18:34,,18:39,,18:38,18:42,,18:45,,,,,,18:49,18:49
ANDHERI,18:27,18:30,18:37,18:40,18:33,18:43,18:38,18:45,18:47,,18:50,,18:45,18:45,18:52,18:52,18:54,18:54
Vile Parle,,,18:41,18:44,,18:47,,,18:50,,18:54,,,,,,18:58,18:58
Santa Cruz,,,18:44,18:47,,18:50,,,18:53,,18:57,,,,,,19:02,19:02
Khar Road,,,18:47,18:50,,18:53,,,18:56,,19:00,,,,,,19:05,19:05
BANDRA,18:35,18:38,18:51,18:54,18:42,18:57,18:46,,19:00,19:02,19:05,,,,19:01,19:01,19:09,19:09
Mahim Jn.,,,18:54,18:57,,19:00,,,19:03,19:06,19:09,,,,,,19:12,19:12
Matunga Road,,,18:57,19:00,,19:03,,,19:06,19:09,19:12,,,,,,19:15,19:15
DADAR,18:41,18:44,19:01,19:04,18:48,19:07,18:52,,19:10,19:13,19:16,,,,19:07,19:07,19:19,19:19
Prabhadevi,,,19:03,19:06,,19:09,,,19:12,19:15,19:18,,,,,,19:21,19:21
Lower Parel,,,19:06,19:09,,19:12,,,19:15,19:18,19:21,,,,,,19:24,19:24
Mahalakshmi,,,19:09,19:12,,19:15,,,19:18,19:21,19:24,,,,,,19:27,19:27
M'BAI CENTRAL(L,18:48,18:51,19:12,19:15,18:55,19:18,18:59,,19:21,19:24,19:27,,,,19:14,19:14,19:30,19:30
Grant Road,,,19:14,19:17,,19:20,,,19:23,19:26,19:29,,,,,,19:32,19:32
Charni Road,,,19:16,19:19,,19:22,,,19:25,19:28,19:31,,,,,,19:34,19:34
Marine Lines,,,19:19,19:22,,19:25,,,19:28,19:31,19:34,,,,,,19:37,19:37
CHURCHGATE,18:56,19:00,19:22,19:25,19:03,19:28,19:08,,19:31,19:34,19:37,,,,19:22,19:22,19:41,19:41
STATIONS UP TRAINS,GMN 90772 12 CAR,BVI 90774 12 CAR,VR 92154 15 CAR,VR 92156 15 CAR,BVI 90776 12 CAR,VR 92158 15 CAR,BVI 90778 12 CAR,VR 90780 12 CAR,BVI 94060 12 CAR,BVI 90782 12 CAR,BSR 92160 15 CAR,VR 94062 12 CAR,VR 94062 12 CAR,DRD 93028 12 CAR,DRD 93028 12 CAR,GMN 90786 12 CAR,GMN 90786 12 CAR,BVI 90788 12 CAR
VIRAR,,NOT ON,18:00,18:04,,18:09,,18:13,,,,18:20,18:20,18:20,18:20,NOT ON,NOT ON,
Nalla Sopara,,SUN,18:06,18:11,,18:15,,18:19,,,,18:26,18:26,,,SUN,SUN,
VASAI ROAD,,ONLY,18:12,18:16,,18:20,,18:24,,,18:26,18:31,18:31,,,ONLY,ONLY,
Naigaon,,,18:17,18:20,,18:24,,18:28,,,18:32,18:36,18:36,,,,,
BHAYANDAR,,,18:23,18:26,,18:30,,18:34,,,18:38,18:42,18:42,,,,,
Mira Road,,,18:28,18:31,,18:35,,18:39,,,18:43,18:47,18:47,,,,,
Dahisar,,,18:33,18:35,,18:39,,18:44,,,18:48,18:52,18:52,,,,,
BORIVALI,,18:37,18:40,18:40,18:43,18:46,18:47,18:48,18:52,18:52,18:54,18:58,18:58,,,,,18:58
Kandivali,,18:43,,18:46,18:49,,18:53,,Air,18:57,,Air,Air,,,,,19:03
Malad,1,18:46,,18:49,18:52,,18:56,,Condition,19:00,,Condition,Condition,,,,,19:06
Goregaon,18:49,18:49,,18:52,18:55,NOT ON,18:59,,,19:03,,,,,,19:06,19:06,19:09
Ram Mandir,18:52,18:51,,18:54,18:57,SUN,--,,,19:05,,,,,,19:09,19:09,19:11
Jogeshwari,18:55,18:54,,18:57,19:00,ONLY,19:04,,,19:08,,,,,,19:12,19:12,19:15
ANDHERI,18:59,19:00,18:56,19:04,19:05,,19:09,19:01,19:06,19:12,19:09,19:14,19:14,,,19:16,19:16,19:19
Vile Parle,19:02,19:05,,,19:09,,,,,19:15,,,,,,19:20,19:20,19:23
Santa Cruz,19:05,19:09,,,19:12,,,,,19:18,,,,,,19:23,19:23,19:26
Khar Road,19:08,19:12,,,19:15,,,,,19:21,,,,,,19:26,19:26,19:29
BANDRA,19:12,19:17,19:05,,19:19,,19:18,19:09,19:15,19:26,,19:24,19:24,,,19:30,19:30,19:33
Mahim Jn.,19:15,19:20,,,19:22,,,,,19:29,,,,,,19:33,19:33,19:36
