STATIONS UP TRAINS,BVI 90790 12 CAR,VR 90792 12 CAR,BA 90794 12 CAR,BVI 90796 12 CAR,VR 94064 12 CAR,VR 94064 12 CAR.1,VR 90800 12 CAR,VR 90800 12 CAR.1,BVI 90802 12 CAR,GMN 90804 12 CAR,BVI 90806 12 CAR,BVI 90808 12 CAR,VR 92162 15 CAR,VR 92162 15 CAR.1,BVI 90810 12 CAR,BVI 90810 12 CAR.1,VR 90812 12 CAR,VR 90812 12 CAR.1,BVI 90814 12 CAR,BVI 90814 12 CAR.1,Unnamed: 21
VIRAR,,18:24,,,18:30,18:30,18:30,18:30,,NOT ON,NOT ON,,18:39,18:39,,,18:45,18:45,,,
Nalla Sopara,,18:30,,,18:37,18:37,18:37,18:37,,SUN,SUN,,18:46,18:46,,,18:52,18:52,,,
VASAI ROAD,,18:35,,,18:42,18:42,18:42,18:42,,ONLY,ONLY,,18:51,18:51,,,18:58,18:58,,,
Naigaon,,18:41,,,18:47,18:47,18:47,18:47,,,,,18:56,18:56,,,19:03,19:03,,,
BHAYANDAR,,18:47,,,18:53,18:53,18:53,18:53,,,,,19:02,19:02,,,19:08,19:08,,,
Mira Road,,18:52,,,18:58,18:58,18:58,18:58,,,,,19:07,19:07,,,19:13,19:13,,,
Dahisar,,18:56,,,19:02,19:02,19:03,19:03,,,,,19:11,19:11,,,19:17,19:17,,,
BORIVALI,19:00,19:01,,19:05,19:07,19:07,19:08,19:08,19:10,,19:11,19:16,19:17,19:17,19:18,19:18,19:23,19:23,19:21,19:21,
Kandivali,19:06,,,19:10,Air,Air,19:13,19:13,,,19:16,19:21,,,19:25,19:25,,,19:28,19:28,
Malad,19:09,,,19:13,Condition,Condition,19:16,19:16,,,19:19,19:24,,,19:28,19:28,,,19:31,19:31,
Goregaon,19:12,,,19:16,,,19:19,19:19,,19:21,19:24,19:28,,,19:32,19:32,,,19:35,19:35,
Ram Mandir,19:14,,,19:18,,,19:21,19:21,,19:24,--,19:30,,,19:34,19:34,,,19:37,19:37,
Jogeshwari,19:17,,,19:21,,,19:24,19:24,,19:27,19:28,19:33,,,19:37,19:37,,,19:40,19:40,
ANDHERI,19:23,19:18,,19:26,19:21,19:21,19:29,19:29,19:26,19:32,19:33,19:37,,,19:41,19:41,19:39,19:39,19:44,19:44,
Vile Parle,19:26,,,19:29,ON SAT,ON SAT,19:33,19:33,,19:36,,19:40,,,19:44,19:44,,,19:47,19:47,
Santa Cruz,19:29,,,19:32,& SUN,& SUN,19:36,19:36,,19:39,,19:43,,,19:47,19:47,,,19:50,19:50,
Khar Road,19:32,,,19:35,NON AC,NON AC,19:39,19:39,,19:42,,19:46,,,19:50,19:50,,,19:53,19:53,
BANDRA,19:36,19:28,19:39,19:41,19:31,19:31,19:44,19:44,19:36,19:46,19:42,19:50,,,19:54,19:54,19:48,19:48,19:57,19:57,
Mahim Jn.,19:39,,19:42,19:45,,,,,,19:49,,19:53,,,19:57,19:57,,,20:00,20:00,
Matunga Road,19:42,,19:45,19:48,,,,,,19:52,,19:56,,,20:00,20:00,,,20:03,20:03,
DADAR,19:46,19:34,19:49,19:52,19:37,19:37,,,19:42,19:56,19:48,20:00,,,20:04,20:04,19:54,19:54,20:07,20:07,
Prabhadevi,19:48,,19:51,19:54,,,,,,19:58,,20:02,,,20:06,20:06,,,20:09,20:09,
Lower Parel,19:51,,19:54,19:57,,,,,,20:01,,20:05,,,20:09,20:09,,,20:12,20:12,
Mahalakshmi,19:54,,19:57,20:00,,,,,,20:04,,20:08,,,20:12,20:12,,,20:15,20:15,
