,STATIONS UP TRAINS,DRD 93032 12 CAR,BYR 94070 12 CAR,BYR 94070 12 CAR.1,VR 94110 12 CAR,VR 94110 12 CAR.1,GMN 94112 12 CAR,GMN 94112 12 CAR.1,BVI 94114 12 CAR,BVI 94114 12 CAR.1,BVI 90898 12 CAR,BVI 90900 12 CAR,BVI 90900 12 CAR.1,BVI 90900 12 CAR.2,GMN 90902 12 CAR,GMN 90902 12 CAR.1,VR 92176 15 CAR,VR 92176 15 CAR.1,VR 92178 15 CAR,VR 92178 15 CAR.1,VR 92178 15 CAR.2,BVI 90904 12 CAR,BVI 90904 12 CAR.1,BVI 90904 12 CAR.2,BSR 94072 12 CAR,BSR 94072 12 CAR.1,BSR 94072 12 CAR.2,BVI 90908 12 CAR,BVI 90908 12 CAR.1,BVI 90908 12 CAR.2,VR 90910 12 CAR,VR 90910 12 CAR.1,VR 90910 12 CAR.2
0,VIRAR,20:16,,,20:15,20:15,,,,,,,,,,,20:18,20:18,20:26,20:26,20:26,,,,,,,,,,20:35,20:35,20:35
1,Nalla Sopara,,,,20:21,20:21,,,,,,,,,,,20:25,20:25,20:32,20:32,20:32,,,,,,,,,,20:41,20:41,20:41
2,VASAI ROAD,20:24,,,20:26,20:26,,,,,,,,,,,20:30,20:30,20:38,20:38,20:38,,,,20:41,20:41,20:41,,,,20:46,20:46,20:46
3,Naigaon,,,,20:31,20:31,,,,,,,,,,,20:35,20:35,20:43,20:43,20:43,,,,20:46,20:46,20:46,,,,20:50,20:50,20:50
4,BHAYANDAR,20:32,20:36,20:36,20:37,20:37,,,,,,,,,,,20:41,20:41,20:49,20:49,20:49,,,,20:52,20:52,20:52,,,,20:56,20:56,20:56
5,Mira Road,,20:42,20:42,20:42,20:42,,,,,,,,,,,20:46,20:46,20:55,20:55,20:55,,,,20:57,20:57,20:57,,,,21:01,21:01,21:01
6,Dahisar,,20:46,20:46,20:47,20:47,,,,,,,,,,,20:51,20:51,20:59,20:59,20:59,,,,21:01,21:01,21:01,,,,21:05,21:05,21:05
7,BORIVALI,20:40,20:50,20:50,20:53,20:53,,,20:46,20:46,20:50,20:59,20:59,20:59,,,20:56,20:56,21:05,21:05,21:05,21:03,21:03,21:03,21:06,21:06,21:06,21:09,21:09,21:09,21:10,21:10,21:10
8,Kandivali,,Air,Air,,,,,20:53,20:53,20:57,21:05,21:05,21:05,,,21:01,21:01,,,,21:09,21:09,21:09,Air,Air,Air,21:15,21:15,21:15,,,
9,Malad,,Condition,Condition,,,,,20:56,20:56,21:00,21:08,21:08,21:08,,,21:04,21:04,,,,21:12,21:12,21:12,Condition,Condition,Condition,21:18,21:18,21:18,,,
10,Goregaon,,,,,,20:57,20:57,21:00,21:00,21:03,21:11,21:11,21:11,21:11,21:11,21:07,21:07,,,,21:15,21:15,21:15,,,,21:21,21:21,21:21,,,
11,Ram Mandir,,,,,,21:00,21:00,--,--,21:05,21:13,21:13,21:13,21:14,21:14,21:09,21:09,,,,21:17,21:17,21:17,,,,21:23,21:23,21:23,,,
12,Jogeshwari,,,,,,21:03,21:03,21:05,21:05,21:08,21:16,21:16,21:16,21:17,21:17,21:12,21:12,,,,21:20,21:20,21:20,,,,21:26,21:26,21:26,,,
13,ANDHERI,20:53,21:03,21:03,21:07,21:07,21:07,21:07,21:12,21:12,21:15,21:21,21:21,21:21,21:21,21:21,21:18,21:18,,,,21:25,21:25,21:25,21:21,21:21,21:21,21:31,21:31,21:31,21:24,21:24,21:24
14,Vile Parle,,,,,,21:11,21:11,,,21:19,21:24,21:24,21:24,21:25,21:25,,,,,,21:29,21:29,21:29,ON SAT,ON SAT,ON SAT,21:34,21:34,21:34,,,
15,Santa Cruz,,,,,,21:14,21:14,,,21:22,21:27,21:27,21:27,21:28,21:28,,,,,,21:32,21:32,21:32,& SUN,& SUN,& SUN,21:37,21:37,21:37,,,
16,Khar Road,,,,,,21:17,21:17,,,21:25,21:30,21:30,21:30,21:31,21:31,,,,,,21:35,21:35,21:35,NON AC,NON AC,NON AC,21:40,21:40,21:40,,,
17,BANDRA,21:02,21:12,21:12,21:16,21:16,21:22,21:22,21:22,21:22,21:30,21:34,21:34,21:34,21:37,21:37,,,,,,21:39,21:39,21:39,21:31,21:31,21:31,21:45,21:45,21:45,21:34,21:34,21:34
