DN TRAINS STATIONS,DN TRAINS STATIONS.1,12 CAR,12 CAR.1,12 CAR.2,12 CAR.3,12 CAR.4,12 CAR.5,12 CAR.6,12 CAR.7,12 CAR.8,12 CAR.9,12 CAR.10,12 CAR.11,12 CAR.12,12 CAR.13,12 CAR.14,12 CAR.15,12 CAR.16,12 CAR.17,12 CAR.18,12 CAR.19,12 CAR.20,12 CAR.21,12 CAR.22,12 CAR.23,12 CAR.24,12 CAR.25,12 CAR.26,12 CAR.27,12 CAR.28,12 CAR.29,12 CAR.30,12 CAR.31,12 CAR.32,12 CAR.33,12 CAR.34,12 CAR.35,12 CAR.36,12 CAR.37
,,93001 VR DRD,93001 VR DRD,93003 CCG DRD,93003 CCG DRD,93005 CCG DRD,93005 CCG DRD,93007 CCG DRD,93007 CCG DRD,93009 CCG DRD,93009 CCG DRD,93011 CCG DRD,93011 CCG DRD,93013 BVI DRD,93013 BVI DRD,93015 CCG DRD,93015 CCG DRD,93017 VR DRD,93017 VR DRD,93019 VR DRD,93019 VR DRD,93021 VR DRD,93021 VR DRD,93023 VR DRD,93023 VR DRD,93025 VR DRD,93025 VR DRD,93027 CCG DRD,93027 CCG DRD,93029 VR DRD,93029 VR DRD,93031 DDR DRD,93031 DDR DRD,93033 VR DRD,93033 VR DRD,93035 VR DRD,93035 VR DRD,93037 CCG DRD,93037 CCG DRD
CHURCHGATE,CHURCHGATE,,,5:03,5:03,5:17,5:17,7:17,7:17,7:42,7:42,8:49,8:49,,,10:03,10:03,,,,,,,,,,,15:21,15:21,,,,,,,,,20:20,20:20
Marine Lines,Marine Lines,,,05:06,05:06,05:20,05:20,7:20,7:20,07:45,07:45,08:52,08:52,,,10:06,10:06,,,,,,,,,,,15:24,15:24,,,,,,,,,20:23,20:23
Charni Road,Charni Road,,,05:09,05:09,05:22,05:22,7:22,7:22,07:47,07:47,08:54,08:54,,,10:08,10:08,,,,,,,,,,,15:26,15:26,,,,,,,,,20:25,20:25
Grant Road,Grant Road,,,05:11,05:11,05:25,05:25,7:25,7:25,07:50,07:50,08:57,08:57,,,10:11,10:11,,,,,,,,,,,15:29,15:29,,,,,,,,,20:28,20:28
M'BAI CENTRAL,M'BAI CENTRAL,,,05:13,05:13,05:27,05:27,7:27,7:27,07:52,07:52,08:59,08:59,,,10:13,10:13,,,,,,,,,,,15:31,15:31,,,,,,,,,20:30,20:30
DADAR,DADAR,,,05:20,05:20,05:34,05:34,7:34,7:34,07:59,07:59,09:06,09:06,,,10:20,10:20,,,,,,,,,,,15:38,15:38,,,18:00,18:00,,,,,20:37,20:37
BANDRA,BANDRA,,,5:27,5:27,5:39,5:39,7:40,7:40,8:04,8:04,9:11,9:11,,,10:25,10:25,,,,,,,,,,,15:43,15:43,,,18:06,18:06,,,,,20:42,20:42
ANDHERI,ANDHERI,,,05:36,05:36,05:47,05:47,7:50,7:50,08:12,08:12,09:19,09:19,,,10:33,10:33,,,,,,,,,,,15:51,15:51,,,18:14,18:14,,,,,20:51,20:51
BORIVALI,BORIVALI,,,05:49,05:49,05:59,05:59,08:03,08:03,08:25,08:25,09:32,09:32,10:26,10:26,10:47,10:47,,,,,,,,,,,16:06,16:06,,,18:28,18:28,,,,,21:06,21:06
Dahisar,Dahisar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:34,18:34,,,,,,
Mira Road,Mira Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:38,18:38,,,,,,
BHAYANDAR,BHAYANDAR,,,5:58,5:58,6:11,6:11,8:11,8:11,8:39,8:39,9:46,9:46,10:41,10:41,11:01,11:01,,,,,,,,,,,16:15,16:15,,,18:43,18:43,,,,,21:17,21:17
Naigaon,Naigaon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:49,18:49,,,,,,
VASAI ROAD,VASAI ROAD,,,06:05,06:05,06:21,06:21,08:19,08:19,08:49,08:49,09:57,09:57,10:53,10:53,11:13,11:13,,,,,,,,,,,16:24,16:24,,,18:55,18:55,,,,,21:29,21:29
Nallasopara,Nallasopara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19:01,19:01,,,,,,
VIRAR,VIRAR,5:35,5:35,06:15,06:15,06:34,06:34,08:29,08:29,09:00,09:00,10:07,10:07,11:05,11:05,11:25,11:25,12:00,12:00,12:20,12:20,13:20,13:20,15:05,15:05,15:45,15:45,16:32,16:32,18:05,18:05,19:07,19:07,20:30,20:30,21:20,21:20,21:38,21:38
Vaiterna,Vaiterna,05:46,05:46,06:25,06:25,06:44,06:44,08:41,08:41,09:10,09:10,10:16,10:16,11:15,11:15,11:36,11:36,12:11,12:11,12:30,12:30,13:31,13:31,15:16,15:16,15:58,15:58,16:42,16:42,18:14,18:14,19:17,19:17,20:41,20:41,21:30,21:30,21:49,21:49
SAPHALE,SAPHALE,05:54,05:54,06:33,06:33,06:51,06:51,08:49,08:49,09:18,09:18,10:24,10:24,11:23,11:23,11:44,11:44,12:19,12:19,12:38,12:38,13:38,13:38,15:24,15:24,16:06,16:06,16:50,16:50,18:22,18:22,19:25,19:25,20:49,20:49,21:38,21:38,21:56,21:56
Kelve Road,Kelve Road,06:00,06:00,06:40,06:40,06:57,06:57,08:55,08:55,9:24,9:24,10:31,10:31,11:29,11:29,11:51,11:51,12:25,12:25,12:44,12:44,13:44,13:44,15:30,15:30,16:12,16:12,16:56,16:56,18:28,18:28,19:31,19:31,20:55,20:55,21:45,21:45,22:02,22:02
PALGHAR,PALGHAR,6:08,6:08,6:56,6:56,7:06,7:06,9:03,9:03,9:32,9:32,10:40,10:40,11:37,11:37,11:59,11:59,12:33,12:33,13:05,13:05,13:52,13:52,15:38,15:38,16:20,16:20,17:10,17:10,18:41,18:41,19:39,19:39,21:18,21:18,22:03,22:03,22:10,22:10
Umroli,Umroli,06:15,06:15,07:02,07:02,07:23,07:23,09:10,09:10,09:38,09:38,10:46,10:46,11:43,11:43,12:05,12:05,12:38,12:38,13:10,13:10,13:57,13:57,15:43,15:43,16:26,16:26,17:16,17:16,18:46,18:46,19:45,19:45,21:24,21:24,22:08,22:08,22:15,22:15
BOISAR,BOISAR,6:21,6:21,7:08,7:08,7:29,7:29,9:16,9:16,9:44,9:44,10:52,10:52,11:51,11:51,12:11,12:11,12:44,12:44,13:16,13:16,14:03,14:03,15:49,15:49,16:33,16:33,17:22,17:22,18:52,18:52,19:51,19:51,21:30,21:30,22:13,22:13,22:21,22:21
Vangaon,Vangaon,06:28,06:28,7:16,7:16,07:39,07:39,09:24,09:24,09:52,09:52,11:00,11:00,12:04,12:04,12:19,12:19,12:52,12:52,13:32,13:32,14:11,14:11,16:08,16:08,16:51,16:51,17:30,17:30,19:07,19:07,20:00,20:00,21:38,21:38,22:20,22:20,22:36,22:36
DAHANU ROAD,DAHANU ROAD,06:50,06:50,07:38,07:38,08:05,08:05,09:50,09:50,10:25,10:25,11:25,11:25,12:20,12:20,12:40,12:40,13:08,13:08,13:50,13:50,14:26,14:26,16:33,16:33,17:08,17:08,17:48,17:48,19:25,19:25,20:20,20:20,21:55,21:55,22:35,22:35,23:05,23:05
