DN HBR TRAINS,DN HBR TRAINS.1,DN HBR TRAINS.2,DN HBR TRAINS.3,DN HBR TRAINS.4,DN HBR TRAINS.5,DN HBR TRAINS.6,DN HBR TRAINS.7,DN HBR TRAINS.8,DN HBR TRAINS.9,DN HBR TRAINS.10,DN HBR TRAINS.11,DN HBR TRAINS.12,DN HBR TRAINS.13,DN HBR TRAINS.14,DN HBR TRAINS.15,DN HBR TRAINS.16,DN HBR TRAINS.17
Train No.,98801 B 1,98803 B 3,98701 GN 1,98703 GN 3,98705 GN 5,98707 GN 7,98805 B 5,98709 GN 9,98807 B 7,98711 GN 11,98713 GN 13,98809 B 9,98901 PLGN 1,98811 B 11,98715 GN 15,98813 B 13,98717 GN 17
Stations,,,,X,,,,,,,,,,,,,
MUMBAI CSMT,0:17,0:36,4:28,4:56,5:10,5:26,5:33,5:50,6:04,6:11,6:28,6:36,,6:50,7:05,7:21,7:36
MASJID,0:20,0:39,4:31,4:59,5:13,5:29,5:36,5:53,6:07,6:14,6:31,6:39,PNVL,6:53,7:08,7:24,7:39
SANDHURST ROAD,0:23,0:42,4:34,5:02,5:16,5:32,5:39,5:56,6:10,6:17,6:34,6:42,5:57,6:56,7:11,7:27,7:42
DOCK YARD ROAD,0:25,0:44,4:36,5:04,5:18,5:34,5:41,5:58,6:12,6:19,6:36,6:44,VDLR,6:58,7:13,7:29,7:44
REAY ROAD,0:27,0:46,4:38,5:06,5:20,5:36,5:43,6:00,6:14,6:21,6:38,6:46,6:58,7:00,7:15,7:31,7:46
COTTON GREEN,0:29,0:48,4:40,5:08,5:22,5:38,5:45,6:02,6:16,6:23,6:40,6:48,,7:02,7:17,7:33,7:48
SEWERI,0:32,0:51,4:43,5:11,5:25,5:41,5:48,6:05,6:19,6:26,6:43,6:51,,7:05,7:20,7:36,7:51
VADALA ROAD,0:35,0:54,4:46,5:14,5:28,5:44,5:51,6:08,6:22,6:29,6:46,6:54,7:02,7:09,7:23,7:39,7:54
KING'S CIRCLE,0:39,0:58,4:50,5:18,5:32,5:48,5:55,6:12,6:26,6:33,6:50,6:58,7:07,7:14,7:29,7:43,7:58
MAHIM JN.,0:41,1:00,4:53,5:21,5:35,5:51,5:58,6:15,6:29,6:36,6:53,7:01,7:10,7:17,7:32,7:46,8:01
BANDRA,0:45,1:04,4:57,5:25,5:39,5:55,6:02,6:19,6:34,6:40,6:57,7:05,7:14,7:21,7:36,7:50,8:05
KHAR,,,5:01,5:29,5:43,5:59,,6:23,,6:44,7:01,,7:18,,7:40,,8:09
SANTACURTZ,,,5:04,5:32,5:46,6:02,,6:26,,6:47,7:04,,7:21,,7:43,,8:12
VILEPARLE,,,5:07,5:35,5:49,6:05,,6:29,,6:50,7:07,,7:24,,7:46,,8:15
ANDHERI,,,5:11,5:39,5:53,6:09,,6:33,,6:54,7:11,,7:28,,7:50,,8:19
JOGESWARI,,,5:15,5:43,5:57,6:13,,6:37,,6:58,7:15,,7:32,,7:54,,8:23
RAM MANDIR,,,5:18,5:46,6:00,6:16,,6:40,,7:01,7:18,,7:35,,7:57,,8:26
GOREGAON,,,5:22,5:50,6:04,6:20,,6:44,,7:05,7:22,,7:39,,8:01,,8:30
Train No.,98903 PLGN 3,98815 B 15,98902 GNPL 2,98719 GN 19,98817 B 17,98905 PLGN 5,98819 B 19,98721 GN 21,98821 B 21,98904 GNPL 4,98723 GN 23,98823 B 23,98725 GN 25,98825 B 25,98727 GN 27,98906 GNPL 6,98827 B 27
Stations,,,,,,,,,,,,,,,,,
MUMBAI CSMT,,7:51,,8:04,8:16,,8:29,8:42,8:50,,9:02,9:14,9:26,9:42,9:55,,10:06
MASJID,PNVL,7:54,GMN,8:07,8:19,PNVL,8:32,8:45,8:53,GMN,9:05,9:17,9:29,9:45,9:58,GMN,10:09
SANDHURST ROAD,6:53,7:57,7:30,8:10,8:22,7:39,8:35,8:48,8:56,8:39,9:08,9:20,9:32,9:48,10:01,9:30,10:12
DOCK YARD ROAD,VDLR,7:59,VDLR,8:12,8:24,VDLR,8:37,8:50,8:58,VDLR,9:10,9:22,9:34,9:50,10:03,VDLR,10:14
REAY ROAD,7:54,8:01,8:06,8:14,8:26,8:40,8:39,8:52,9:00,9:17,9:12,9:24,9:36,9:52,10:05,10:10,10:16
COTTON GREEN,,8:03,,8:16,8:28,,8:41,8:54,9:02,,9:14,9:26,9:38,9:54,10:07,,10:18
SEWERI,,8:06,,8:19,8:31,,8:44,8:57,9:05,,9:17,9:29,9:41,9:57,10:10,,10:21
VADALA ROAD,8:02,8:09,8:10,8:22,8:34,8:45,8:48,9:00,9:08,9:20,9:20,9:32,9:44,10:00,10:14,10:14,10:25
KING'S CIRCLE,8:09,8:13,,8:26,8:38,8:50,8:53,9:04,9:12,,9:24,9:36,9:48,10:04,10:18,,10:30
MAHIM JN.,8:12,8:16,,8:29,8:41,8:53,8:56,9:08,9:15,,9:27,9:39,9:51,10:07,10:21,,10:33
BANDRA,8:16,8:20,,8:33,8:45,8:57,9:00,9:12,9:19,,9:31,9:43,9:55,10:11,10:25,,10:37
KHAR,8:21,,,8:37,,9:01,,9:16,,,9:35,,9:59,,10:29,,
SANTACURTZ,8:24,,,8:40,,9:04,,9:19,,,9:38,,10:02,,10:32,,
VILEPARLE,8:27,,,8:43,,9:07,,9:22,,,9:41,,10:05,,10:35,,
ANDHERI,8:31,,,8:47,,9:11,,9:26,,,9:45,,10:09,,10:39,,
JOGESWARI,8:35,,,8:51,,9:15,,9:30,,,9:49,,10:13,,10:43,,
RAM MANDIR,8:38,,,8:54,,9:18,,9:33,,,9:52,,10:16,,10:46,,
GOREGAON,8:43,,,8:58,,9:22,,9:37,,,9:56,,10:22,,10:50,,
Train No.,98729 GN 29,98829 B 29,98731 GN 31,98831 B 31,98733 GN 33,98907 PLGN 7,98833 B 33,98735 GN 35,98835 B 35,98737 GN 37,98837 B 37,91393 WGN 1,98908 GNPL 8,98839 B 39,98739 GN 39,98841 B 41,98741 GN 41
Stations,,,,,,,,,,,,*,,,,,
