,UP HBR TRAINS,UP HBR TRAINS.1,UP HBR TRAINS.2,UP HBR TRAINS.3,UP HBR TRAINS.4,UP HBR TRAINS.5,UP HBR TRAINS.6,UP HBR TRAINS.7,UP HBR TRAINS.8,UP HBR TRAINS.9,UP HBR TRAINS.10,UP HBR TRAINS.11,UP HBR TRAINS.12,UP HBR TRAINS.13,UP HBR TRAINS.14,UP HBR TRAINS.15,UP HBR TRAINS.16,UP HBR TRAINS.17,UP HBR TRAINS.18,UP HBR TRAINS.19,UP HBR TRAINS.20,UP HBR TRAINS.21,UP HBR TRAINS.22,UP HBR TRAINS.23,UP HBR TRAINS.24,UP HBR TRAINS.25,UP HBR TRAINS.26,UP HBR TRAINS.27,UP HBR TRAINS.28,UP HBR TRAINS.29,UP HBR TRAINS.30,UP HBR TRAINS.31,UP HBR TRAINS.32,UP HBR TRAINS.33,UP HBR TRAINS.34,UP HBR TRAINS.35,UP HBR TRAINS.36,UP HBR TRAINS.37,UP HBR TRAINS.38,UP HBR TRAINS.39,UP HBR TRAINS.40,UP HBR TRAINS.41,UP HBR TRAINS.42,UP HBR TRAINS.43,UP HBR TRAINS.44,UP HBR TRAINS.45,UP HBR TRAINS.46,UP HBR TRAINS.47,UP HBR TRAINS.48,UP HBR TRAINS.49,UP HBR TRAINS.50,UP HBR TRAINS.51,UP HBR TRAINS.52,UP HBR TRAINS.53,UP HBR TRAINS.54,UP HBR TRAINS.55,UP HBR TRAINS.56,UP HBR TRAINS.57,UP HBR TRAINS.58,UP HBR TRAINS.59,UP HBR TRAINS.60,UP HBR TRAINS.61,UP HBR TRAINS.62,UP HBR TRAINS.63,UP HBR TRAINS.64,UP HBR TRAINS.65,UP HBR TRAINS.66,UP HBR TRAINS.67,UP HBR TRAINS.68,UP HBR TRAINS.69,UP HBR TRAINS.70,UP HBR TRAINS.71,UP HBR TRAINS.72,UP HBR TRAINS.73
0,Train No.,98702 GN 2,98802 B 2,98802 B 2,98804 B 4,98804 B 4,98806 B 6,98806 B 6,98704 GN 4,98704 GN 4,98704 GN 4,98706 GN 6,98706 GN 6,98706 GN 6,98706 GN 6,98706 GN 6,98708 GN 8,98708 GN 8,98708 GN 8,98708 GN 8,98708 GN 8,98708 GN 8,98808 B 8,98808 B 8,98808 B 8,98808 B 8,98808 B 8,98808 B 8,98710 GN 10,98710 GN 10,98710 GN 10,98710 GN 10,98710 GN 10,98712 GN 12,98712 GN 12,98712 GN 12,98712 GN 12,98712 GN 12,98712 GN 12,98810 B 10,98810 B 10,98810 B 10,98810 B 10,98810 B 10,98810 B 10,98901 PLGN 1,98901 PLGN 1,98901 PLGN 1,98901 PLGN 1,98901 PLGN 1,98901 PLGN 1,98901 PLGN 1,98714 GN 14,98714 GN 14,98714 GN 14,98714 GN 14,98714 GN 14,98714 GN 14,98812 B 12,98812 B 12,98812 B 12,98812 B 12,98812 B 12,98812 B 12,98716 GN 16,98716 GN 16,98716 GN 16,98716 GN 16,98716 GN 16,98814 B 14,98814 B 14,98814 B 14,98718 GN 18,98718 GN 18
1,Stations,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GOREGAON,0:07,,,,,,,5:05,5:05,5:05,5:17,5:17,5:17,5:17,5:17,5:33,5:33,5:33,5:33,5:33,5:33,,,,,,,5:59,5:59,5:59,5:59,5:59,6:14,6:14,6:14,6:14,6:14,6:14,,,,,,,,,,,,,,6:35,6:35,6:35,6:35,6:35,6:35,,,,,,,6:57,6:57,6:57,6:57,6:57,,,,7:17,7:17
3,RAM MANDIR,0:11,,,,,,,5:09,5:09,5:09,5:21,5:21,5:21,5:21,5:21,5:37,5:37,5:37,5:37,5:37,5:37,,,,,,,6:03,6:03,6:03,6:03,6:03,6:18,6:18,6:18,6:18,6:18,6:18,,,,,,,,,,,,,,6:39,6:39,6:39,6:39,6:39,6:39,,,,,,,7:01,7:01,7:01,7:01,7:01,,,,7:21,7:21
4,JOGESWARI,0:14,,,,,,,5:12,5:12,5:12,5:24,5:24,5:24,5:24,5:24,5:40,5:40,5:40,5:40,5:40,5:40,,,,,,,6:06,6:06,6:06,6:06,6:06,6:21,6:21,6:21,6:21,6:21,6:21,,,,,,,,,,,,,,6:42,6:42,6:42,6:42,6:42,6:42,,,,,,,7:04,7:04,7:04,7:04,7:04,,,,7:24,7:24
5,ANDHERI,0:18,,,,,,,5:16,5:16,5:16,5:28,5:28,5:28,5:28,5:28,5:44,5:44,5:44,5:44,5:44,5:44,,,,,,,6:10,6:10,6:10,6:10,6:10,6:25,6:25,6:25,6:25,6:25,6:25,,,,,,,,,,,,,,6:46,6:46,6:46,6:46,6:46,6:46,,,,,,,7:08,7:08,7:08,7:08,7:08,,,,7:28,7:28
6,VILEPARLE,0:22,,,,,,,5:20,5:20,5:20,5:32,5:32,5:32,5:32,5:32,5:48,5:48,5:48,5:48,5:48,5:48,,,,,,,6:14,6:14,6:14,6:14,6:14,6:29,6:29,6:29,6:29,6:29,6:29,,,,,,,,,,,,,,6:50,6:50,6:50,6:50,6:50,6:50,,,,,,,7:12,7:12,7:12,7:12,7:12,,,,7:32,7:32
7,SANTACURTZ,0:25,,,,,,,5:23,5:23,5:23,5:35,5:35,5:35,5:35,5:35,5:51,5:51,5:51,5:51,5:51,5:51,,,,,,,6:17,6:17,6:17,6:17,6:17,6:32,6:32,6:32,6:32,6:32,6:32,,,,,,,,,,,,,,6:53,6:53,6:53,6:53,6:53,6:53,,,,,,,7:15,7:15,7:15,7:15,7:15,,,,7:35,7:35
8,KHAR,0:28,,,,,,,5:26,5:26,5:26,5:38,5:38,5:38,5:38,5:38,5:54,5:54,5:54,5:54,5:54,5:54,,,,,,,6:20,6:20,6:20,6:20,6:20,6:35,6:35,6:35,6:35,6:35,6:35,,,,,,,,,,,,,,6:56,6:56,6:56,6:56,6:56,6:56,,,,,,,7:18,7:18,7:18,7:18,7:18,,,,7:38,7:38
9,BANDRA,0:32,4:17,4:17,4:34,4:34,5:13,5:13,5:30,5:30,5:30,5:42,5:42,5:42,5:42,5:42,5:58,5:58,5:58,5:58,5:58,5:58,6:10,6:10,6:10,6:10,6:10,6:10,6:24,6:24,6:24,6:24,6:24,6:39,6:39,6:39,6:39,6:39,6:39,6:45,6:45,6:45,6:45,6:45,6:45,,,,,,,,7:00,7:00,7:00,7:00,7:00,7:00,7:13,7:13,7:13,7:13,7:13,7:13,7:22,7:22,7:22,7:22,7:22,7:29,7:29,7:29,7:42,7:42
