,DN TRAINS,VR,BVI,BVI.1,VR.1,BVI.2,VR.2,BVI.3,VR.3,VR.4,BVI.4,VR.5,VR.6,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
0,,94001,94003,94005,94007,94081,94009,94011,94013,94015,94083,94017,94019,,,,,,,,,,,,,,
1,STATIONS,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,12 CAR,,,,,,,,,,,,,,
2,CHURCHGATE,,,05:45,,06:35,Air,07:18,07:36,07:54,08:46,08:53,09:23,,,,,,,,,,,,,,
3,Marine Lines,,,05:48,,06:39,Condition,07:21,07:39,07:57,,,09:26,,,,,,,,,,,,,,
4,Charni Road,,,05:50,,06:41,ON SAT,07:23,07:41,07:59,,,09:28,,,,,,,,,,,,,,
5,Grant Road,,,05:53,,06:44,& SUN,07:26,07:44,08:02,,,09:31,,,,,,,,,,,,,,
6,M'BAI CENTRAL (L),,,05:55,,06:46,NON AC,07:28,07:46,08:04,08:54,09:02,09:33,,,,,,,,,,,,,,
7,Mahalakshmi,Air,05:38,05:58,Air,06:49,06:57,07:31,Air,Air,,Air,Air,,,,,,,,,,,,,,
8,Lower Parel,Condition,05:41,06:01,Condition,06:52,07:00,07:34,Condition,Condition,,Condition,Condition,,,,,,,,,,,,,,
9,Prabhadevi,,05:44,06:04,,06:55,07:03,07:37,,,,,,,,,,,,,,,,,,,
10,DADAR,,05:46,06:06,,06:57,07:05,07:39,07:53,08:11,09:01,09:09,09:40,,,,,,,,,,,,,,
11,Matunga Road,,05:48,06:08,,06:59,07:07,07:42,,,,,,,,,,,,,,,,,,,
12,Mahim Jn.,,05:51,06:11,,07:02,07:10,07:45,,,,,,,,,,,,,,,,,,,
13,BANDRA,,05:55,06:15,,07:06,07:13,07:49,07:59,08:16,09:06,09:14,09:45,,,,,,,,,,,,,,
14,Khar Road,,05:58,06:18,,07:09,07:16,07:52,,ON SAT,,,,,,,,,,,,,,,,,
15,Santa Cruz,,06:00,06:20,,07:12,07:19,07:54,,& SUN,Air,,,,,,,,,,,,,,,,
16,Vile Parle,,06:03,06:23,,07:15,07:22,07:57,,NON AC,Condition,,,,,,,,,,,,,,,,
17,ANDHERI,,06:08,06:28,,07:20,07:27,08:01,08:07,08:24,09:15,09:22,09:54,,,,,,,,,,,,,,
18,Jogeshwari,,06:12,06:31,,07:23,07:30,08:04,,,,,,,,,,,,,,,,,,,
19,Ram Mandir,,06:15,06:34,,07:26,07:33,08:07,,,ON SAT,,,,,,,,,,,,,,,,
20,Goregaon,,06:17,06:36,,07:28,07:35,08:09,,,& SUN,,,,,,,,,,,,,,,,
21,Malad,,06:21,06:40,,07:32,07:39,08:13,,,NON AC,,,,,,,,,,,,,,,,
22,Kandivli,,06:24,06:43,,07:35,07:42,08:16,,,,,,,,,,,,,,,,,,,
23,BORIVALI,04:56,06:30,06:50,,07:41,07:47,08:22,08:21,08:40,09:30,09:36,10:07,,,,,,,,,,,,,,
24,Dahisar,05:00,,,,,07:51,,08:25,08:44,,09:40,10:11,,,,,,,,,,,,,,
25,Mira Road,05:05,,ON SAT,,Air,07:56,,08:30,08:49,,09:45,10:16,,,,,,,,,,,,,,
26,Bhayandar,05:10,,& SUN,07:27,Condition,08:01,,08:35,08:53,,09:50,10:21,,,,,,,,,,,,,,
27,Naigaon,05:16,Air,NON AC,,,08:06,Air,08:41,08:59,,09:56,10:26,,,,,,,,,,,,,,
28,Vasai Road,05:21,Condition,,,ON SAT,08:11,Condition,08:46,09:04,,10:01,10:31,,,,,,,,,,,,,,
29,Nalla Sopara,05:26,,Air,,& SUN,08:16,,08:52,09:09,,10:06,10:36,,,,,,,,,,,,,,
30,VIRAR,05:34,,Condition,07:52,NON AC,08:23,,09:00,09:15,,10:13,10:43,,,,,,,,,,,,,,
31,DN TRAINS STATIONS,BVI 94021 12 CAR,BVI 94021 12 CAR,BVI 94023 12 CAR,BVI 94023 12 CAR,BVI 94085 12 CAR,BVI 94085 12 CAR,BYR 94025 12 CAR,BYR 94025 12 CAR,VR 94027 12 CAR,VR 94027 12 CAR,VR 94029 12 CAR,VR 94029 12 CAR,VR 94031 12 CAR,VR 94031 12 CAR,VR 94033 12 CAR,VR 94033 12 CAR,VR 94087 12 CAR,VR 94087 12 CAR,BVI 94035 12 CAR,BVI 94035 12 CAR,VR 94037 12 CAR,VR 94037 12 CAR,VR 94039 12 CAR,VR 94039 12 CAR,BYR 94041 12 CAR,BYR 94041 12 CAR
32,CHURCHGATE,09:27,09:27,10:24,10:24,10:32,10:32,10:36,10:36,10:53,10:53,11:15,11:15,11:48,11:48,12:29,12:29,12:16,12:16,12:45,12:45,13:08,13:08,13:45,13:45,14:15,14:15
33,Marine Lines,,,10:27,10:27,,,,,,,11:18,11:18,11:51,11:51,12:32,12:32,12:19,12:19,12:48,12:48,13:11,13:11,13:48,13:48,14:18,14:18
34,Charni Road,,,10:29,10:29,,,,,,,11:20,11:20,11:53,11:53,12:34,12:34,12:21,12:21,12:50,12:50,13:13,13:13,13:50,13:50,14:20,14:20
35,Grant Road,,,10:32,10:32,,,,,,,11:23,11:23,11:56,11:56,12:37,12:37,12:24,12:24,12:53,12:53,13:16,13:16,13:53,13:53,14:23,14:23
36,M'BAI CENTRAL (L),09:36,09:36,10:34,10:34,10:42,10:42,10:46,10:46,11:03,11:03,11:25,11:25,11:58,11:58,12:39,12:39,12:26,12:26,12:55,12:55,13:18,13:18,13:55,13:55,14:25,14:25
37,Mahalakshmi,Air,Air,10:37,10:37,,,Air,Air,Air,Air,Air,Air,Air,Air,Air,Air,,,12:58,12:58,13:21,13:21,Air,Air,Air,Air
38,Lower Parel,Condition,Condition,10:40,10:40,,,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,Condition,,,13:01,13:01,13:24,13:24,Condition,Condition,Condition,Condition
39,Prabhadevi,,,10:43,10:43,,,,,,,,,,,,,,,13:04,13:04,13:27,13:27,,,,
40,DADAR,09:43,09:43,10:45,10:45,10:49,10:49,10:53,10:53,11:10,11:10,11:32,11:32,12:05,12:05,12:46,12:46,12:33,12:33,13:06,13:06,13:29,13:29,14:03,14:03,14:32,14:32
41,Matunga Road,,,10:47,10:47,,,,,,,,,,,,,,,13:08,13:08,13:31,13:31,,,,
42,Mahim Jn.,,,10:50,10:50,,,,,,,,,,,,,,,13:11,13:11,13:34,13:34,,,,
43,BANDRA,09:48,09:48,10:54,10:54,10:54,10:54,10:58,10:58,11:16,11:16,11:38,11:38,12:10,12:10,12:52,12:52,12:38,12:38,13:15,13:15,13:38,13:38,14:09,14:09,14:38,14:38
44,Khar Road,,,10:57,10:57,,,,,,,,,,,,,,,13:18,13:18,13:41,13:41,ON SAT,ON SAT,,
