UP TRAINS STATIONS,NSP 94002 12 CAR,BVI 94004 12 CAR,NSP # 94080 12 CAR,VR 94006 12 CAR,BVI 94008 12 CAR,BVI 94010 12 CAR,BVI 94082 12 CAR,VR 94012 12 CAR,BVI 94014 12 CAR,VR 94016 12 CAR,VR # 94018 12 CAR
,,,AC,,,,,,,,
VIRAR,,ON SAT,,05:50,,ON SAT,Air,07:15,,07:59,08:33
Nalla Sopara,04:00,& SUN,04:55,05:56,,& SUN,Condition,07:21,,08:05,08:39
VASAI ROAD,04:06,NON AC,05:00,06:01,,NON AC,,07:26,,08:10,08:44
Naigaon,04:11,Air,05:05,06:06,,,ON SAT,07:31,,08:15,08:48
BHAYANDAR,04:16,Condition,05:11,06:12,,,& SUN,07:37,,08:21,08:54
Mira Road,04:21,,05:16,06:17,,,NON AC,07:42,,08:26,08:59
Dahisar,04:25,,05:20,06:21,,,,07:46,,08:30,09:03
BORIVALI,04:29,04:32,05:24,06:25,06:36,06:55,07:47,07:53,08:26,08:36,09:09
Kandivali,,04:37,05:29,Air,06:42,07:02,07:52,07:58,08:31,Air,09:15
Malad,ON SAT,04:40,05:32,Condition,06:45,07:05,07:55,08:01,08:34,Condition,09:18
Goregaon,& SUN,04:43,05:35,,06:48,07:09,07:58,08:04,08:37,,09:21
Ram Mandir,NON AC,04:45,05:37,,--,--,--,--,--,,09:23
Jogeshwari,,04:48,05:40,,06:53,07:14,08:03,08:09,08:41,,09:26
ANDHERI,,04:52,05:45,06:38,06:58,07:18,08:08,08:14,08:46,08:49,09:31
Vile Parle,Air,04:56,05:48,Air,Air,Air,,Air,Air,,09:35
Santa Cruz,Condition,04:59,05:51,Condition,Condition,Condition,,Condition,Condition,,09:38
Khar Road,,05:02,05:54,,,,,,,,09:41
BANDRA,,05:06,05:58,06:47,07:07,07:27,08:18,08:24,08:55,08:58,09:47
Mahim Jn.,,05:09,06:01,,,,,,,,09:50
Matunga Road,,05:12,06:04,,,,,,,,09:53
DADAR,,05:15,06:07,06:53,07:13,07:33,08:24,08:30,09:01,09:04,09:57
Prabhadevi,,05:18,06:10,,,,,,,,09:59
Lower Parel,,05:21,06:13,,,,,,,,10:02
Mahalakshmi,,05:24,06:16,,,,,,,,10:05
M'BAI CENTRAL(L),,05:27,06:19,07:00,07:20,07:40,08:31,08:37,09:08,09:11,10:08
Grant Road,,05:29,06:21,07:02,07:22,07:42,08:33,08:39,09:10,09:13,10:10
Charni Road,,05:31,06:23,07:05,07:24,07:44,08:35,08:41,09:12,09:15,10:12
