,Train No. Train Code,99255 TNU 55 X,99049 TPL 49 $,99489 TV 89,99257 TNU 57,99491 TV 91,99051 TPL 51,99493 TV 93,99259 TNU 59,99495 TV 95,99261 TNU 61,99053 TPL 53 X,99497 TV 97,99055 TPL 55,99499 TV 99,99057 TPL 57,99263 TNU 63,99501 TV 101,99265 TNU 65,99503 TV 103
0,TNA,18:29,18:34,18:42,18:49,18:59,19:14,19:19,19:24,19:34,19:38,19:48,19:54,19:59,20:05,20:15,20:20,20:28,20:33,20:43
1,DIGH,18:34,18:39,18:47,18:54,19:04,19:19,19:24,19:29,19:39,19:43,19:53,19:59,20:04,20:10,20:20,20:25,20:33,20:38,20:48
2,AIRL,18:37,18:42,18:50,18:57,19:07,19:22,19:27,19:32,19:42,19:46,19:56,20:02,20:07,20:13,20:23,20:28,20:36,20:41,20:51
3,RABE,18:40,18:45,18:53,19:00,19:10,19:25,19:30,19:35,19:45,19:49,19:59,20:05,20:10,20:16,20:26,20:31,20:39,20:44,20:54
4,GNSL,18:43,18:48,18:56,19:03,19:13,19:28,19:33,19:38,19:48,19:52,20:02,20:08,20:13,20:19,20:29,20:34,20:42,20:47,20:57
5,KPHN,18:46,18:51,18:59,19:06,19:16,19:31,19:36,19:41,19:51,19:55,20:05,20:11,20:16,20:22,20:32,20:37,20:45,20:50,21:00
6,TUH,18:50,18:55,19:03,19:10,19:20,19:35,19:40,19:45,19:55,19:59,20:09,20:15,20:20,20:26,20:36,20:41,20:49,20:54,21:04
7,SNPD,,,19:07,,19:24,,19:44,,19:59,,,20:19,,20:30,,,20:53,,21:08
8,VSH,,,19:11,,19:28,,19:48,,20:04,,,20:23,,20:35,,,20:57,,21:12
9,JNJ,18:54,18:59,,19:14,,19:39,,19:49,,20:03,20:13,,20:24,,20:40,20:45,,20:58,
10,NEU,18:59,19:03,,19:19,,19:43,,19:54,,20:08,20:18,,20:28,,20:44,20:50,,21:03,
11,SWDV,,19:07,,,,19:47,,,,,20:22,,20:32,,20:48,,,,
12,BEPR,,19:11,,,,19:51,,,,,20:26,,20:36,,20:52,,,,
13,KHAG,,19:15,,,,19:55,,,,,20:30,,20:40,,20:56,,,,
14,MANR,,19:18,,,,19:58,,,,,20:33,,20:43,,20:59,,,,
15,KNDS,,19:21,,,,20:01,,,,,20:36,,20:46,,21:02,,,,
16,PNVL,,19:26,,,,20:06,,,,,20:42,,20:51,,21:07,,,,
17,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.,$ TNA end 3 Coaches reserved for Ladies only.
